cell	frip
mSp_rep10_213	0.777636
mSp_rep10_214	0.735849
mSp_rep10_215	0.768288
mSp_rep10_216	0.733027
mSp_rep10_217	0.749634
mSp_rep10_218	0.699665
mSp_rep10_219	0.759394
mSp_rep10_220	0.736201
mSp_rep10_221	0.737498
mSp_rep10_222	0.721707
mSp_rep10_223	0.753770
mSp_rep10_224	0.777331
mSp_rep10_225	0.766555
mSp_rep10_226	0.750681
mSp_rep10_227	0.735203
mSp_rep10_228	0.741919
mSp_rep10_229	0.692423
mSp_rep10_230	0.755410
mSp_rep10_231	0.725797
mSp_rep10_232	0.648209
mSp_rep10_233	0.709216
mSp_rep10_234	0.726604
mSp_rep10_235	0.758755
mSp_rep10_236	0.642794
mSp_rep10_237	0.398010
mSp_rep10_238	0.741806
mSp_rep10_239	0.759780
mSp_rep10_240	0.723353
mSp_rep10_241	0.731914
mSp_rep10_242	0.756052
mSp_rep10_243	0.722004
mSp_rep10_244	0.738529
mSp_rep10_245	0.717369
mSp_rep10_246	0.752944
mSp_rep10_247	0.783325
mSp_rep10_248	0.767581
mSp_rep10_249	0.742084
mSp_rep10_250	0.775725
mSp_rep10_251	0.733034
mSp_rep10_252	0.758276
mSp_rep10_253	0.747342
mSp_rep10_254	0.740051
mSp_rep10_255	0.754010
mSp_rep10_256	0.694076
mSp_rep10_257	0.771158
mSp_rep10_258	0.692260
mSp_rep10_259	0.737386
mSp_rep10_260	0.760641
mSp_rep10_261	0.748603
mSp_rep10_262	0.700869
mSp_rep10_263	0.715402
mSp_rep10_264	0.754734
mSp_rep10_265	0.753879
mSp_rep10_266	0.744212
mSp_rep10_267	0.754101
mSp_rep10_268	0.648631
mSp_rep10_269	0.726029
mSp_rep10_270	0.697338
mSp_rep10_271	0.761321
mSp_rep10_272	0.728841
mSp_rep10_273	0.721334
mSp_rep10_274	0.580253
mSp_rep10_275	0.734745
mSp_rep10_276	0.729435
mSp_rep10_277	0.691046
mSp_rep10_278	0.752550
mSp_rep10_279	0.737630
mSp_rep10_280	0.761904
mSp_rep10_281	0.722481
mSp_rep10_282	0.789267
mSp_rep10_283	0.691485
mSp_rep10_284	0.716716
mSp_rep10_285	0.728352
mSp_rep10_286	0.660803
mSp_rep10_287	0.749327
mSp_rep10_288	0.745260
mSp_rep10_289	0.750846
mSp_rep10_290	0.762478
mSp_rep10_291	0.744074
mSp_rep10_292	0.743929
mSp_rep10_293	0.715277
mSp_rep10_294	0.684517
mSp_rep10_295	0.693038
mSp_rep10_296	0.734058
mSp_rep10_297	0.782792
mSp_rep10_298	0.756941
mSp_rep10_299	0.745205
mSp_rep10_300	0.744121
mSp_rep10_301	0.747750
mSp_rep10_302	0.755155
mSp_rep10_303	0.749789
mSp_rep10_304	0.758036
mSp_rep10_305	0.758420
mSp_rep10_306	0.756341
mSp_rep10_307	0.752587
mSp_rep10_308	0.750596
mSp_rep10_309	0.743632
mSp_rep10_310	0.753996
mSp_rep10_311	0.716195
mSp_rep10_312	0.748263
mSp_rep10_313	0.711705
mSp_rep10_314	0.756501
mSp_rep10_315	0.784505
mSp_rep10_316	0.734763
mSp_rep10_317	0.768342
mSp_rep10_318	0.769458
mSp_rep10_319	0.728168
mSp_rep10_320	0.758159
mSp_rep10_321	0.773912
mSp_rep10_322	0.761923
mSp_rep10_323	0.721400
mSp_rep10_324	0.740704
mSp_rep10_325	0.707996
mSp_rep10_326	0.769142
mSp_rep10_327	0.671992
mSp_rep10_328	0.746039
mSp_rep10_329	0.757834
mSp_rep10_330	0.739561
mSp_rep10_331	0.742646
mSp_rep10_332	0.724725
mSp_rep10_333	0.776344
mSp_rep10_334	0.748691
mSp_rep10_335	0.650649
mSp_rep10_336	0.763545
mSp_rep10_337	0.763489
mSp_rep10_338	0.779976
mSp_rep10_339	0.775436
mSp_rep10_340	0.732898
mSp_rep10_341	0.648517
mSp_rep10_342	0.749851
mSp_rep10_343	0.784380
mSp_rep10_344	0.741568
mSp_rep10_345	0.744711
mSp_rep10_346	0.659879
mSp_rep10_347	0.777561
mSp_rep10_348	0.686476
mSp_rep10_349	0.752262
mSp_rep10_350	0.742914
mSp_rep10_351	0.733174
mSp_rep10_352	0.664555
mSp_rep10_353	0.747777
mSp_rep10_354	0.753387
mSp_rep10_355	0.776815
mSp_rep10_356	0.761529
mSp_rep10_357	0.678886
mSp_rep10_358	0.656257
mSp_rep10_359	0.755347
mSp_rep10_360	0.740816
mSp_rep10_361	0.749840
mSp_rep10_362	0.731403
mSp_rep10_363	0.712455
mSp_rep10_364	0.695723
mSp_rep10_365	0.734121
mSp_rep10_366	0.661289
mSp_rep10_367	0.734482
mSp_rep10_368	0.744803
mSp_rep10_369	0.735193
mSp_rep10_370	0.735451
mSp_rep10_371	0.638752
mSp_rep10_372	0.776981
mSp_rep10_373	0.726523
mSp_rep10_374	0.725013
mSp_rep10_375	0.714178
mSp_rep10_376	0.764256
mSp_rep10_377	0.686092
mSp_rep10_378	0.739125
mSp_rep10_379	0.752657
mSp_rep10_380	0.745095
mSp_rep10_381	0.652353
mSp_rep10_382	0.752573
mSp_rep10_383	0.749452
mSp_rep10_384	0.656250
mSp_rep11_001	0.784914
mSp_rep11_002	0.775393
mSp_rep11_003	0.737708
mSp_rep11_004	0.758428
mSp_rep11_005	0.752160
mSp_rep11_006	0.744023
mSp_rep11_007	0.683994
mSp_rep11_008	0.760951
mSp_rep11_009	0.727038
mSp_rep11_010	0.699135
mSp_rep11_011	0.709644
mSp_rep11_012	0.712790
mSp_rep11_013	0.715693
mSp_rep11_014	0.761376
mSp_rep11_015	0.748296
mSp_rep11_016	0.758219
mSp_rep11_017	0.774508
mSp_rep11_018	0.729092
mSp_rep11_019	0.748109
mSp_rep11_020	0.762031
mSp_rep11_021	0.761520
mSp_rep11_022	0.687167
mSp_rep11_023	0.708316
mSp_rep11_024	0.730104
mSp_rep11_025	0.693233
mSp_rep11_026	0.725909
mSp_rep11_027	0.741279
mSp_rep11_028	0.723213
mSp_rep11_029	0.706279
mSp_rep11_030	0.735513
mSp_rep11_031	0.785348
mSp_rep11_032	0.747181
mSp_rep11_033	0.761050
mSp_rep11_034	0.729946
mSp_rep11_035	0.705568
mSp_rep11_036	0.705619
mSp_rep11_037	0.731135
mSp_rep11_038	0.734494
mSp_rep11_039	0.760725
mSp_rep11_040	0.672221
mSp_rep11_041	0.685592
mSp_rep11_042	0.687605
mSp_rep11_043	0.729738
mSp_rep11_044	0.690100
mSp_rep11_045	0.759103
mSp_rep11_046	0.761215
mSp_rep11_047	0.746858
mSp_rep11_048	0.716157
mSp_rep11_049	0.742450
mSp_rep11_050	0.676538
mSp_rep11_051	0.688035
mSp_rep11_052	0.740962
mSp_rep11_053	0.697075
mSp_rep11_054	0.733541
mSp_rep11_055	0.749043
mSp_rep11_056	0.741071
mSp_rep11_057	0.623762
mSp_rep11_058	0.761758
mSp_rep11_059	0.741465
mSp_rep11_060	0.770830
mSp_rep11_061	0.655197
mSp_rep11_062	0.761606
mSp_rep11_063	0.696193
mSp_rep11_064	0.748558
mSp_rep11_065	0.662846
mSp_rep11_066	0.712096
mSp_rep11_067	0.752378
mSp_rep11_068	0.726610
mSp_rep11_069	0.754587
mSp_rep11_070	0.752510
mSp_rep11_071	0.690645
mSp_rep11_072	0.771367
mSp_rep11_073	0.709615
mSp_rep11_074	0.720611
mSp_rep11_075	0.726798
mSp_rep11_076	0.732054
mSp_rep11_077	0.734133
mSp_rep11_078	0.731375
mSp_rep11_079	0.717652
mSp_rep11_080	0.742474
mSp_rep11_081	0.643700
mSp_rep11_082	0.734402
mSp_rep11_083	0.728206
mSp_rep11_084	0.740425
mSp_rep11_085	0.763223
mSp_rep11_086	0.698668
mSp_rep11_087	0.709114
mSp_rep11_088	0.715306
mSp_rep11_089	0.708168
mSp_rep11_090	0.753059
mSp_rep11_091	0.737831
mSp_rep11_092	0.725806
mSp_rep11_093	0.751534
mSp_rep11_094	0.744697
mSp_rep11_095	0.720383
mSp_rep11_096	0.760081
mSp_rep11_097	0.735423
mSp_rep11_098	0.715053
mSp_rep11_099	0.757705
mSp_rep11_100	0.732408
mSp_rep11_101	0.721392
mSp_rep11_102	0.734978
mSp_rep11_103	0.708185
mSp_rep11_104	0.694012
mSp_rep11_105	0.661379
mSp_rep11_106	0.751971
mSp_rep11_107	0.782053
mSp_rep11_108	0.739366
mSp_rep11_109	0.732960
mSp_rep11_110	0.718703
mSp_rep11_111	0.684114
mSp_rep11_112	0.699497
mSp_rep11_113	0.717643
mSp_rep11_114	0.745445
mSp_rep11_115	0.724300
mSp_rep11_116	0.727800
mSp_rep11_117	0.719177
mSp_rep11_118	0.751730
mSp_rep11_119	0.730703
mSp_rep11_120	0.765598
mSp_rep11_121	0.743551
mSp_rep11_122	0.742014
mSp_rep11_123	0.730104
mSp_rep11_124	0.740737
mSp_rep11_125	0.700411
mSp_rep11_126	0.765817
mSp_rep11_127	0.725851
mSp_rep11_128	0.717309
mSp_rep11_129	0.717517
mSp_rep11_130	0.672493
mSp_rep11_131	0.707251
mSp_rep11_132	0.653527
mSp_rep11_133	0.695734
mSp_rep11_134	0.751210
mSp_rep11_135	0.807213
mSp_rep11_136	0.716062
mSp_rep11_137	0.722412
mSp_rep11_138	0.706605
mSp_rep11_139	0.716997
mSp_rep11_140	0.740881
mSp_rep11_141	0.737433
mSp_rep11_142	0.693806
mSp_rep11_143	0.740164
mSp_rep11_144	0.666911
