cell	mapping_rate
mCPC_E8.5_200	97.14
mCPC_E8.5_201	97.47
mCPC_E8.5_202	96.87
mCPC_E8.5_203	97.40
mCPC_E8.5_204	97.54
mCPC_E8.5_205	97.31
mCPC_E8.5_206	97.44
mCPC_E8.5_207	96.95
mCPC_E8.5_208	97.30
mCPC_E8.5_209	97.22
mCPC_E8.5_210	97.19
mCPC_E8.5_211	97.50
mCPC_E8.5_212	98.00
mCPC_E8.5_213	96.87
mCPC_E8.5_214	97.38
mCPC_E8.5_215	97.20
mCPC_E8.5_216	97.53
mCPC_E8.5_217	96.80
mCPC_E8.5_218	97.14
mCPC_E8.5_219	97.25
mCPC_E8.5_220	97.25
mCPC_E8.5_221	97.40
mCPC_E8.5_222	96.34
mCPC_E8.5_223	96.94
mCPC_E8.5_224	97.70
mCPC_E8.5_225	97.36
mCPC_E8.5_226	97.47
mCPC_E8.5_227	96.69
mCPC_E8.5_228	96.87
mCPC_E8.5_229	96.50
mCPC_E8.5_230	97.41
mCPC_E8.5_231	97.17
mCPC_E8.5_232	95.39
mCPC_E8.5_233	97.27
mCPC_E8.5_234	96.79
mCPC_E8.5_235	97.28
mCPC_E8.5_236	79.46
mCPC_E8.5_237	97.65
mCPC_E8.5_238	97.31
mCPC_E8.5_239	93.46
mCPC_E8.5_240	97.46
mCPC_E8.5_241	97.21
mCPC_E8.5_242	97.46
mCPC_E8.5_243	96.53
mCPC_E8.5_244	97.77
mCPC_E8.5_245	97.62
mCPC_E8.5_246	97.54
mCPC_E8.5_247	97.35
mCPC_E8.5_248	96.64
mCPC_E8.5_249	96.92
mCPC_E8.5_250	97.10
mCPC_E8.5_251	97.15
mCPC_E8.5_252	97.01
mCPC_E8.5_253	96.93
mCPC_E8.5_254	97.12
mCPC_E8.5_255	97.41
mCPC_E8.5_256	96.79
mCPC_E8.5_257	97.20
mCPC_E8.5_258	97.36
mCPC_E8.5_259	97.25
mCPC_E8.5_260	97.33
mCPC_E8.5_261	77.28
mCPC_E8.5_262	96.96
mCPC_E8.5_263	97.11
mCPC_E8.5_264	97.21
mCPC_E8.5_265	97.39
mCPC_E8.5_266	97.29
mCPC_E8.5_267	96.59
mCPC_E8.5_268	97.16
mCPC_E8.5_269	96.99
mCPC_E8.5_270	97.25
mCPC_E8.5_271	97.57
mCPC_E8.5_272	97.19
mCPC_E8.5_273	97.08
mCPC_E8.5_274	97.31
mCPC_E8.5_275	97.00
mCPC_E8.5_276	96.85
mCPC_E8.5_277	97.00
mCPC_E8.5_278	97.11
mCPC_E8.5_279	97.22
mCPC_E8.5_280	97.35
mCPC_E8.5_281	96.92
mCPC_E8.5_282	75.13
mCPC_E8.5_283	97.16
mCPC_E8.5_284	96.50
mCPC_E8.5_285	97.10
mCPC_E8.5_286	97.70
mCPC_E8.5_287	96.83
mCPC_E8.5_288	96.96
mCPC_E8.5_289	97.83
mCPC_E8.5_290	97.09
mCPC_E8.5_291	98.00
mCPC_E8.5_292	97.53
mCPC_E8.5_293	97.37
mCPC_E8.5_294	97.52
mCPC_E8.5_295	96.78
mCPC_E8.5_296	97.30
mCPC_E8.5_297	97.66
mCPC_E8.5_298	97.47
mCPC_E8.5_299	97.72
mCPC_E8.5_300	97.20
mCPC_E8.5_301	97.40
mCPC_E8.5_302	96.83
mCPC_E8.5_303	96.65
mCPC_E8.5_304	97.63
mCPC_E8.5_305	97.27
mCPC_E8.5_306	97.78
mCPC_E8.5_307	97.26
mCPC_E8.5_308	97.53
mCPC_E8.5_309	96.50
mCPC_E8.5_310	97.12
mCPC_E8.5_311	97.46
mCPC_E8.5_312	97.40
mCPC_E8.5_313	97.41
mCPC_E8.5_314	97.24
mCPC_E8.5_315	97.34
mCPC_E8.5_316	97.64
mCPC_E8.5_317	97.67
mCPC_E8.5_318	97.12
mCPC_E8.5_319	97.78
mCPC_E8.5_320	96.71
mCPC_E8.5_321	96.97
