cell	library_size
mCPC_E8.5_214	109694
mCPC_E8.5_215	120460
mCPC_E8.5_216	135532
mCPC_E8.5_217	115581
mCPC_E8.5_218	119180
mCPC_E8.5_219	109296
mCPC_E8.5_220	91549
mCPC_E8.5_221	99158
mCPC_E8.5_222	66257
mCPC_E8.5_223	112729
mCPC_E8.5_224	86542
mCPC_E8.5_225	154371
mCPC_E8.5_226	126354
mCPC_E8.5_227	85531
mCPC_E8.5_228	79884
mCPC_E8.5_229	86199
mCPC_E8.5_230	102340
mCPC_E8.5_231	72581
mCPC_E8.5_232	63558
mCPC_E8.5_233	121867
mCPC_E8.5_234	62304
mCPC_E8.5_235	125911
mCPC_E8.5_236	44005
mCPC_E8.5_237	49114
mCPC_E8.5_238	144984
mCPC_E8.5_239	49581
mCPC_E8.5_240	101406
mCPC_E8.5_241	89540
mCPC_E8.5_242	77608
mCPC_E8.5_243	91196
mCPC_E8.5_244	91080
mCPC_E8.5_245	107053
mCPC_E8.5_246	119697
mCPC_E8.5_247	69735
mCPC_E8.5_248	60886
mCPC_E8.5_249	118674
mCPC_E8.5_250	76473
mCPC_E8.5_251	116693
mCPC_E8.5_252	140377
mCPC_E8.5_253	50472
mCPC_E8.5_254	84418
mCPC_E8.5_255	90756
mCPC_E8.5_256	69350
mCPC_E8.5_257	74384
mCPC_E8.5_258	79913
mCPC_E8.5_259	71029
mCPC_E8.5_260	124675
mCPC_E8.5_261	31921
mCPC_E8.5_262	127121
mCPC_E8.5_263	103485
mCPC_E8.5_264	99230
mCPC_E8.5_265	83023
mCPC_E8.5_266	136520
mCPC_E8.5_267	133505
mCPC_E8.5_268	122990
mCPC_E8.5_269	147106
mCPC_E8.5_270	72455
mCPC_E8.5_271	136472
mCPC_E8.5_272	115469
mCPC_E8.5_273	231588
mCPC_E8.5_274	134767
mCPC_E8.5_275	138514
mCPC_E8.5_276	116227
mCPC_E8.5_277	77864
mCPC_E8.5_278	104156
mCPC_E8.5_279	71686
mCPC_E8.5_280	117320
mCPC_E8.5_281	101136
mCPC_E8.5_282	37446
mCPC_E8.5_283	113666
mCPC_E8.5_284	82640
mCPC_E8.5_285	120304
mCPC_E8.5_286	143724
mCPC_E8.5_287	99645
mCPC_E8.5_288	130248
mCPC_E8.5_289	50097
mCPC_E8.5_290	77152
mCPC_E8.5_291	122334
mCPC_E8.5_292	97167
mCPC_E8.5_293	88847
mCPC_E8.5_294	81374
mCPC_E8.5_295	166482
mCPC_E8.5_296	141188
mCPC_E8.5_297	85274
mCPC_E8.5_298	135255
mCPC_E8.5_299	169504
mCPC_E8.5_300	88316
mCPC_E8.5_301	113024
mCPC_E8.5_302	101761
mCPC_E8.5_303	91201
mCPC_E8.5_304	80621
mCPC_E8.5_305	111633
mCPC_E8.5_306	111099
mCPC_E8.5_307	125202
mCPC_E8.5_308	126107
mCPC_E8.5_309	112726
mCPC_E8.5_310	111658
mCPC_E8.5_311	119015
mCPC_E8.5_312	116627
mCPC_E8.5_313	84865
mCPC_E8.5_314	87833
mCPC_E8.5_315	112741
mCPC_E8.5_316	84546
mCPC_E8.5_317	98631
mCPC_E8.5_318	111307
mCPC_E8.5_319	101649
mCPC_E8.5_320	99988
mCPC_E8.5_321	147281
mCPC_E8.5_322	103411
mCPC_E8.5_323	96468
mCPC_E8.5_324	74580
mCPC_E8.5_325	119985
mCPC_E8.5_326	153368
mCPC_E8.5_327	120245
mCPC_E8.5_328	87209
mCPC_E8.5_329	70176
mCPC_E8.5_330	95631
mCPC_E8.5_331	103981
mCPC_E8.5_332	67904
mCPC_E8.5_333	129610
mCPC_E8.5_334	95959
mCPC_E8.5_335	136029
mCPC_E8.5_336	67591
mCPC_E8.5_337	128391
mCPC_E8.5_338	88032
mCPC_E8.5_339	80258
mCPC_E8.5_340	140029
mCPC_E8.5_341	108608
mCPC_E8.5_342	68216
