cell	frip
mCPC_E9.5_188	0.537077
mCPC_E9.5_189	0.541323
mCPC_E9.5_190	0.407561
mCPC_E9.5_191	0.458318
mCPC_E9.5_192	0.726206
mCPC_E9.5_193	0.568443
mCPC_E9.5_194	0.447624
mCPC_E9.5_195	0.565127
mCPC_E9.5_196	0.553073
mCPC_E9.5_197	0.580016
mCPC_E9.5_198	0.505021
mCPC_E9.5_199	0.521790
mCPC_E9.5_200	0.485338
mCPC_E9.5_201	0.513322
mCPC_E9.5_202	0.513226
mCPC_E9.5_203	0.529094
mCPC_E9.5_204	0.555958
mCPC_E9.5_205	0.589880
mCPC_E9.5_206	0.520366
mCPC_E9.5_207	0.482566
mCPC_E9.5_208	0.544474
mCPC_E9.5_209	0.495332
mCPC_E9.5_210	0.451824
mCPC_E9.5_211	0.537892
mCPC_E9.5_212	0.529415
mCPC_E9.5_213	0.576976
mCPC_E9.5_214	0.673306
mCPC_E9.5_215	0.534495
mCPC_E9.5_216	0.528511
mCPC_E9.5_217	0.505812
mCPC_E9.5_218	0.583358
mCPC_E9.5_219	0.597438
mCPC_E9.5_220	0.526275
mCPC_E9.5_221	0.586964
mCPC_E9.5_222	0.500594
mCPC_E9.5_223	0.500912
mCPC_E9.5_224	0.554966
mCPC_E9.5_225	0.570455
mCPC_E9.5_226	0.525881
mCPC_E9.5_227	0.548250
mCPC_E9.5_228	0.520339
mCPC_E9.5_229	0.488289
mCPC_E9.5_230	0.528536
mCPC_E9.5_231	0.648542
mCPC_E9.5_232	0.518146
mCPC_E9.5_233	0.476602
mCPC_E9.5_234	0.530038
mCPC_E9.5_235	0.574643
mCPC_E9.5_236	0.554882
mCPC_E9.5_237	0.544058
mCPC_E9.5_238	0.507795
mCPC_E9.5_239	0.548756
mCPC_E9.5_240	0.531933
mCPC_E9.5_241	0.557815
mCPC_E9.5_242	0.437912
mCPC_E9.5_243	0.489344
mCPC_E9.5_244	0.493385
mCPC_E9.5_245	0.381342
mCPC_E9.5_246	0.501874
mCPC_E9.5_247	0.493688
mCPC_E9.5_248	0.559569
mCPC_E9.5_249	0.502895
mCPC_E9.5_250	0.510746
mCPC_E9.5_251	0.549758
mCPC_E9.5_252	0.547315
