cell	sequencing_depth
mSp_rep3_001	523852
mSp_rep3_002	110525
mSp_rep3_003	2087608
mSp_rep3_004	559021
mSp_rep3_005	482392
mSp_rep3_006	461113
mSp_rep3_007	392673
mSp_rep3_008	658318
mSp_rep3_009	503339
mSp_rep3_010	467741
mSp_rep3_011	465152
mSp_rep3_012	522352
mSp_rep3_013	447902
mSp_rep3_014	390606
mSp_rep3_015	392488
mSp_rep3_016	550827
mSp_rep3_017	273414
mSp_rep3_018	204043
mSp_rep3_019	232675
mSp_rep3_020	290452
mSp_rep3_021	222685
mSp_rep3_022	330816
mSp_rep3_023	277942
mSp_rep3_024	469038
mSp_rep3_025	403624
mSp_rep3_026	103792
mSp_rep3_027	533333
mSp_rep3_028	471651
mSp_rep3_029	404603
mSp_rep3_030	481644
mSp_rep3_031	809925
mSp_rep3_032	484699
mSp_rep3_033	1364198
mSp_rep3_034	414987
mSp_rep3_035	1128824
mSp_rep3_036	123345
mSp_rep3_037	399872
mSp_rep3_038	329179
mSp_rep3_039	410796
mSp_rep3_040	13008
mSp_rep3_041	231845
mSp_rep3_042	44098
mSp_rep3_043	412374
mSp_rep3_044	302665
mSp_rep3_045	220675
mSp_rep3_046	833779
mSp_rep3_047	230392
mSp_rep3_048	204577
mSp_rep3_049	602824
mSp_rep3_050	481681
mSp_rep3_051	583516
mSp_rep3_052	474636
mSp_rep3_053	977896
mSp_rep3_054	637311
mSp_rep3_055	350168
mSp_rep3_056	495242
mSp_rep3_057	527506
mSp_rep3_058	439105
mSp_rep3_059	23823
mSp_rep3_060	496832
mSp_rep3_061	891836
mSp_rep3_062	325794
mSp_rep3_063	318743
mSp_rep3_064	549409
mSp_rep3_065	397960
mSp_rep3_066	363200
mSp_rep3_067	156604
mSp_rep3_068	240775
mSp_rep3_069	384322
mSp_rep3_070	788687
mSp_rep3_071	363087
mSp_rep3_072	470190
mSp_rep3_073	539503
mSp_rep3_074	242309
mSp_rep3_075	468588
mSp_rep3_076	510668
mSp_rep3_077	344829
mSp_rep3_078	627011
mSp_rep3_079	462716
mSp_rep3_080	340003
mSp_rep3_081	3964531
mSp_rep3_082	569649
mSp_rep3_083	438220
mSp_rep3_084	319639
mSp_rep3_085	462645
mSp_rep3_086	287899
mSp_rep3_087	335211
mSp_rep3_088	457761
mSp_rep3_089	145001
mSp_rep3_090	278960
mSp_rep3_091	344003
mSp_rep3_092	1894
mSp_rep3_093	711933
mSp_rep3_094	468036
mSp_rep3_095	426216
mSp_rep3_096	469851
mSp_rep3_097	590466
mSp_rep3_098	421544
mSp_rep3_099	573177
mSp_rep3_100	719046
mSp_rep3_101	312259
mSp_rep3_102	322845
mSp_rep3_103	614014
mSp_rep3_104	484303
mSp_rep3_105	169612
mSp_rep3_106	421770
mSp_rep3_107	319721
