cell	sequencing_depth
human_skin_fibr_227	456926
human_skin_fibr_228	559466
human_skin_fibr_229	1196454
human_skin_fibr_230	469857
human_skin_fibr_231	446083
human_skin_fibr_232	534227
human_skin_fibr_233	712245
human_skin_fibr_234	427848
human_skin_fibr_235	208252
human_skin_fibr_236	677824
human_skin_fibr_237	470565
human_skin_fibr_238	404614
human_skin_fibr_239	986990
human_skin_fibr_240	487540
human_skin_fibr_241	379585
human_skin_fibr_242	562657
human_skin_fibr_243	828462
human_skin_fibr_244	820664
human_skin_fibr_245	495110
human_skin_fibr_246	827955
human_skin_fibr_247	486073
human_skin_fibr_248	330612
human_skin_fibr_249	487362
human_skin_fibr_250	781373
human_skin_fibr_251	1016519
human_skin_fibr_252	656169
human_skin_fibr_253	662277
human_skin_fibr_254	645459
human_skin_fibr_255	807526
human_skin_fibr_256	774520
human_skin_fibr_257	500795
human_skin_fibr_258	580905
human_skin_fibr_259	977733
human_skin_fibr_260	611740
human_skin_fibr_261	168645
human_skin_fibr_262	553890
human_skin_fibr_263	475645
human_skin_fibr_264	299392
human_skin_fibr_265	592032
human_skin_fibr_266	490945
human_skin_fibr_267	623134
human_skin_fibr_268	317617
human_skin_fibr_269	319035
human_skin_fibr_270	767389
human_skin_fibr_271	638902
human_skin_fibr_272	521854
human_skin_fibr_273	687270
human_skin_fibr_274	1621037
human_skin_fibr_275	169671
human_skin_fibr_276	480326
human_skin_fibr_277	902799
human_skin_fibr_278	565784
human_skin_fibr_279	475246
human_skin_fibr_280	1591968
human_skin_fibr_281	800856
human_skin_fibr_282	981082
human_skin_fibr_283	476351
human_skin_fibr_284	1025544
human_skin_fibr_285	788018
human_skin_fibr_286	193104
human_skin_fibr_287	1081814
human_skin_fibr_288	194487
human_skin_fibr_289	424859
human_skin_fibr_290	333391
human_skin_fibr_291	773446
human_skin_fibr_292	553346
human_skin_fibr_293	583388
human_skin_fibr_294	521329
human_skin_fibr_295	526943
human_skin_fibr_296	531778
human_skin_fibr_297	739400
human_skin_fibr_298	836693
human_skin_fibr_299	921402
human_skin_fibr_300	809653
human_skin_fibr_301	854770
human_skin_fibr_302	317
human_skin_fibr_303	551625
human_skin_fibr_304	1911501
human_skin_fibr_305	727690
human_skin_fibr_306	350135
human_skin_fibr_307	562995
human_skin_fibr_308	647129
human_skin_fibr_309	408031
human_skin_fibr_310	619373
human_skin_fibr_311	1015214
human_skin_fibr_312	491907
human_skin_fibr_313	477558
