cell	mt_content
human_skin_fibr_200	0.006091
human_skin_fibr_201	0.025480
human_skin_fibr_202	0.011202
human_skin_fibr_203	0.005617
human_skin_fibr_204	0.017930
human_skin_fibr_205	0.032045
human_skin_fibr_206	0.004617
human_skin_fibr_207	0.020778
human_skin_fibr_208	0.020139
human_skin_fibr_209	0.011536
human_skin_fibr_210	0.036861
human_skin_fibr_211	0.004223
human_skin_fibr_212	0.018080
human_skin_fibr_213	0.016423
human_skin_fibr_214	0.052200
human_skin_fibr_215	0.029924
human_skin_fibr_216	0.015142
human_skin_fibr_217	0.045493
human_skin_fibr_218	0.001527
human_skin_fibr_219	0.075742
human_skin_fibr_220	0.015250
human_skin_fibr_221	0.054441
human_skin_fibr_222	0.040968
human_skin_fibr_223	0.000300
human_skin_fibr_224	0.027215
human_skin_fibr_225	0.051191
human_skin_fibr_226	0.067320
human_skin_fibr_227	0.006262
human_skin_fibr_228	0.015784
human_skin_fibr_229	0.005235
human_skin_fibr_230	0.010368
human_skin_fibr_231	0.007743
human_skin_fibr_232	0.022071
human_skin_fibr_233	0.074168
human_skin_fibr_234	0.026663
human_skin_fibr_235	0.004172
human_skin_fibr_236	0.009266
human_skin_fibr_237	0.018697
human_skin_fibr_238	0.005517
human_skin_fibr_239	0.020235
human_skin_fibr_240	0.047764
human_skin_fibr_241	0.061508
human_skin_fibr_242	0.009137
human_skin_fibr_243	0.025559
human_skin_fibr_244	0.023953
human_skin_fibr_245	0.002518
human_skin_fibr_246	0.037239
human_skin_fibr_247	0.033032
human_skin_fibr_248	0.002642
human_skin_fibr_249	0.007757
human_skin_fibr_250	0.042691
human_skin_fibr_251	0.014068
human_skin_fibr_252	0.028928
human_skin_fibr_253	0.038834
human_skin_fibr_254	0.027532
human_skin_fibr_255	0.040996
human_skin_fibr_256	0.045056
human_skin_fibr_257	0.087770
human_skin_fibr_258	0.019864
human_skin_fibr_259	0.006520
human_skin_fibr_260	0.007462
human_skin_fibr_261	0.003793
human_skin_fibr_262	0.039679
human_skin_fibr_263	0.009776
human_skin_fibr_264	0.000869
human_skin_fibr_265	0.007410
