cell	sequencing_depth
mSp_rep3_048	409911
mSp_rep3_049	1207665
mSp_rep3_050	964781
mSp_rep3_051	1168673
mSp_rep3_052	950605
mSp_rep3_053	1957078
mSp_rep3_054	1276255
mSp_rep3_055	701179
mSp_rep3_056	992000
mSp_rep3_057	1056576
mSp_rep3_058	878875
mSp_rep3_059	47675
mSp_rep3_060	995121
mSp_rep3_061	1785261
mSp_rep3_062	652279
mSp_rep3_063	638284
mSp_rep3_064	1100419
mSp_rep3_065	796840
mSp_rep3_066	727249
mSp_rep3_067	313638
mSp_rep3_068	481874
mSp_rep3_069	769390
mSp_rep3_070	1579472
mSp_rep3_071	727008
mSp_rep3_072	941609
mSp_rep3_073	1080494
mSp_rep3_074	484924
mSp_rep3_075	938316
mSp_rep3_076	1022828
mSp_rep3_077	690541
mSp_rep3_078	1255474
mSp_rep3_079	926538
mSp_rep3_080	680901
mSp_rep3_081	7930916
mSp_rep3_082	1141001
mSp_rep3_083	877089
mSp_rep3_084	640084
mSp_rep3_085	926395
mSp_rep3_086	576664
mSp_rep3_087	671272
mSp_rep3_088	916392
mSp_rep3_089	290268
mSp_rep3_090	558757
mSp_rep3_091	688864
mSp_rep3_092	3841
mSp_rep3_093	1425915
mSp_rep3_094	937245
mSp_rep3_095	853214
mSp_rep3_096	940942
mSp_rep3_097	1182714
mSp_rep3_098	844028
mSp_rep3_099	1148103
mSp_rep3_100	1440289
mSp_rep3_101	625308
mSp_rep3_102	646463
mSp_rep3_103	1229725
mSp_rep3_104	970096
mSp_rep3_105	340105
mSp_rep3_106	844459
mSp_rep3_107	640216
mSp_rep3_108	628256
mSp_rep3_109	780124
mSp_rep3_110	1301325
mSp_rep3_111	603558
mSp_rep3_112	651757
mSp_rep3_113	642209
mSp_rep3_114	1140931
mSp_rep3_115	718652
mSp_rep3_116	506616
mSp_rep3_117	215570
mSp_rep3_118	707776
mSp_rep3_119	181383
mSp_rep3_120	1334522
mSp_rep3_121	983840
mSp_rep3_122	1116462
mSp_rep3_123	830687
mSp_rep3_124	1113366
mSp_rep3_125	649697
mSp_rep3_126	816019
mSp_rep3_127	1046538
mSp_rep3_128	595281
mSp_rep3_129	1506961
mSp_rep3_130	1642353
mSp_rep3_131	614403
mSp_rep3_132	3317491
mSp_rep3_133	716337
mSp_rep3_134	773930
mSp_rep3_135	598379
mSp_rep3_136	439265
mSp_rep3_137	888523
mSp_rep3_138	515116
mSp_rep3_139	704285
mSp_rep3_140	423256
mSp_rep3_141	633381
mSp_rep3_142	601489
mSp_rep3_143	787668
mSp_rep3_144	1166976
mSp_rep3_145	1051365
mSp_rep3_146	947563
mSp_rep3_147	683865
mSp_rep3_148	717096
mSp_rep3_149	895980
mSp_rep3_150	860345
mSp_rep3_151	1221381
mSp_rep3_152	1269914
mSp_rep3_153	2050593
mSp_rep3_154	1184906
mSp_rep3_155	545495
mSp_rep3_156	855087
mSp_rep3_157	229402
mSp_rep3_158	682201
mSp_rep3_159	478089
mSp_rep3_160	399473
mSp_rep3_161	500130
mSp_rep3_162	774792
mSp_rep3_163	1266733
mSp_rep3_164	265851
mSp_rep3_165	704315
mSp_rep3_166	541386
mSp_rep3_167	839886
mSp_rep3_168	1814680
mSp_rep3_169	74200
mSp_rep3_170	783939
mSp_rep3_171	1371603
mSp_rep3_172	403423
mSp_rep3_173	620143
mSp_rep3_174	1058727
mSp_rep3_175	1565281
mSp_rep3_176	671357
mSp_rep3_177	962942
mSp_rep3_178	2073080
mSp_rep3_179	288548
mSp_rep3_180	422521
mSp_rep3_181	1040789
mSp_rep3_182	404625
mSp_rep3_183	541931
mSp_rep3_184	545053
mSp_rep3_185	443219
mSp_rep3_186	778153
mSp_rep3_187	552222
mSp_rep3_188	590857
mSp_rep3_189	539158
mSp_rep3_190	841553
mSp_rep3_191	565974
mSp_rep3_192	683404
mSp_rep3_193	641920
mSp_rep3_194	168846
mSp_rep3_195	802015
mSp_rep3_196	317744
mSp_rep3_197	127723
mSp_rep3_198	459309
mSp_rep3_199	892239
mSp_rep3_200	1218342
mSp_rep3_201	923048
mSp_rep3_202	556861
mSp_rep3_203	679264
mSp_rep3_204	1009417
mSp_rep3_205	645080
mSp_rep3_206	644762
mSp_rep3_207	750473
mSp_rep3_208	333514
mSp_rep3_209	1206041
mSp_rep3_210	1267464
mSp_rep3_211	801109
mSp_rep3_212	634026
mSp_rep3_213	543609
mSp_rep3_214	1657190
mSp_rep3_215	655849
mSp_rep3_216	1853615
mSp_rep3_217	488968
mSp_rep3_218	1369629
mSp_rep3_219	782786
