cell	library_size
mSp_rep10_246	31655
mSp_rep10_247	28295
mSp_rep10_248	28135
mSp_rep10_249	10718
mSp_rep10_250	20693
mSp_rep10_251	33308
mSp_rep10_252	28543
mSp_rep10_253	36934
mSp_rep10_254	31209
mSp_rep10_255	33044
mSp_rep10_256	18753
mSp_rep10_257	14560
mSp_rep10_258	21373
mSp_rep10_259	34951
mSp_rep10_260	31718
mSp_rep10_261	30910
mSp_rep10_262	38283
mSp_rep10_263	39045
mSp_rep10_264	11098
mSp_rep10_265	15039
mSp_rep10_266	27433
mSp_rep10_267	8487
mSp_rep10_268	37103
mSp_rep10_269	35930
mSp_rep10_270	41784
mSp_rep10_271	13431
mSp_rep10_272	17175
mSp_rep10_273	35521
mSp_rep10_274	6254
mSp_rep10_275	30715
mSp_rep10_276	33794
mSp_rep10_277	31806
mSp_rep10_278	33450
mSp_rep10_279	11606
mSp_rep10_280	28095
mSp_rep10_281	36956
mSp_rep10_282	14580
mSp_rep10_283	23601
mSp_rep10_284	37609
mSp_rep10_285	37804
mSp_rep10_286	38202
mSp_rep10_287	34436
mSp_rep10_288	13573
mSp_rep10_289	21367
mSp_rep10_290	32108
mSp_rep10_291	18553
mSp_rep10_292	16516
mSp_rep10_293	34527
mSp_rep10_294	36040
mSp_rep10_295	43405
mSp_rep10_296	37187
mSp_rep10_297	16484
mSp_rep10_298	31621
mSp_rep10_299	35233
mSp_rep10_300	33949
mSp_rep10_301	29052
mSp_rep10_302	33324
mSp_rep10_303	14305
mSp_rep10_304	21602
mSp_rep10_305	26467
mSp_rep10_306	13107
mSp_rep10_307	27409
mSp_rep10_308	28635
mSp_rep10_309	23160
mSp_rep10_310	22872
mSp_rep10_311	36456
mSp_rep10_312	29624
mSp_rep10_313	34807
mSp_rep10_314	25070
mSp_rep10_315	31645
mSp_rep10_316	37292
mSp_rep10_317	30679
mSp_rep10_318	24187
mSp_rep10_319	29684
mSp_rep10_320	27229
mSp_rep10_321	17762
mSp_rep10_322	29707
mSp_rep10_323	34359
mSp_rep10_324	37372
mSp_rep10_325	32721
mSp_rep10_326	34982
mSp_rep10_327	49772
mSp_rep10_328	30030
mSp_rep10_329	31089
mSp_rep10_330	31588
mSp_rep10_331	28258
mSp_rep10_332	23532
mSp_rep10_333	26597
mSp_rep10_334	29328
mSp_rep10_335	50691
mSp_rep10_336	12103
mSp_rep10_337	16551
mSp_rep10_338	19281
mSp_rep10_339	25348
mSp_rep10_340	16019
mSp_rep10_341	10924
mSp_rep10_342	28915
mSp_rep10_343	18986
mSp_rep10_344	37181
mSp_rep10_345	31760
mSp_rep10_346	30020
mSp_rep10_347	29500
mSp_rep10_348	50492
mSp_rep10_349	30581
mSp_rep10_350	34644
mSp_rep10_351	34057
mSp_rep10_352	57940
mSp_rep10_353	33696
mSp_rep10_354	30991
mSp_rep10_355	21453
mSp_rep10_356	31731
mSp_rep10_357	47939
mSp_rep10_358	28105
mSp_rep10_359	33601
mSp_rep10_360	31749
mSp_rep10_361	20428
mSp_rep10_362	35120
mSp_rep10_363	26753
mSp_rep10_364	41383
mSp_rep10_365	11167
mSp_rep10_366	33233
mSp_rep10_367	35452
mSp_rep10_368	33776
mSp_rep10_369	38573
mSp_rep10_370	32974
mSp_rep10_371	7050
mSp_rep10_372	23352
mSp_rep10_373	35303
mSp_rep10_374	38315
mSp_rep10_375	32520
mSp_rep10_376	28499
mSp_rep10_377	42503
mSp_rep10_378	34047
mSp_rep10_379	34772
mSp_rep10_380	32969
mSp_rep10_381	11116
mSp_rep10_382	29072
mSp_rep10_383	31086
mSp_rep10_384	288
mSp_rep11_001	13270
mSp_rep11_002	19955
mSp_rep11_003	30135
mSp_rep11_004	32011
mSp_rep11_005	34048
mSp_rep11_006	35074
mSp_rep11_007	10045
mSp_rep11_008	32910
mSp_rep11_009	36253
mSp_rep11_010	47828
mSp_rep11_011	26206
mSp_rep11_012	42540
mSp_rep11_013	39422
mSp_rep11_014	27068
mSp_rep11_015	33548
mSp_rep11_016	30719
mSp_rep11_017	29405
mSp_rep11_018	37317
mSp_rep11_019	36465
mSp_rep11_020	8674
mSp_rep11_021	34335
mSp_rep11_022	48824
mSp_rep11_023	40092
mSp_rep11_024	15488
mSp_rep11_025	52925
mSp_rep11_026	34332
mSp_rep11_027	36061
mSp_rep11_028	35980
mSp_rep11_029	43912
mSp_rep11_030	30400
mSp_rep11_031	6713
mSp_rep11_032	36445
mSp_rep11_033	21373
mSp_rep11_034	30635
mSp_rep11_035	43046
mSp_rep11_036	37094
mSp_rep11_037	36801
mSp_rep11_038	30921
mSp_rep11_039	32318
mSp_rep11_040	51597
mSp_rep11_041	45489
mSp_rep11_042	7135
mSp_rep11_043	36246
mSp_rep11_044	46253
mSp_rep11_045	35528
mSp_rep11_046	19425
mSp_rep11_047	35256
mSp_rep11_048	36486
mSp_rep11_049	10439
mSp_rep11_050	45958
mSp_rep11_051	43958
mSp_rep11_052	24012
mSp_rep11_053	29348
mSp_rep11_054	35969
mSp_rep11_055	27659
mSp_rep11_056	16293
mSp_rep11_057	32536
mSp_rep11_058	31412
mSp_rep11_059	40002
mSp_rep11_060	31749
mSp_rep11_061	13624
mSp_rep11_062	30992
mSp_rep11_063	11435
mSp_rep11_064	33162
mSp_rep11_065	17015
mSp_rep11_066	18156
mSp_rep11_067	34825
mSp_rep11_068	36478
mSp_rep11_069	24378
mSp_rep11_070	35296
mSp_rep11_071	46469
mSp_rep11_072	26232
mSp_rep11_073	28194
mSp_rep11_074	12412
mSp_rep11_075	36597
mSp_rep11_076	33190
mSp_rep11_077	37046
mSp_rep11_078	26498
mSp_rep11_079	31992
mSp_rep11_080	31125
mSp_rep11_081	43807
mSp_rep11_082	17462
mSp_rep11_083	38491
mSp_rep11_084	35031
mSp_rep11_085	26538
mSp_rep11_086	22077
mSp_rep11_087	45786
mSp_rep11_088	37323
mSp_rep11_089	37372
mSp_rep11_090	37567
mSp_rep11_091	16254
mSp_rep11_092	38557
mSp_rep11_093	30455
mSp_rep11_094	33469
mSp_rep11_095	32201
mSp_rep11_096	21904
mSp_rep11_097	35553
mSp_rep11_098	13838
mSp_rep11_099	34671
mSp_rep11_100	29257
mSp_rep11_101	36752
mSp_rep11_102	36058
mSp_rep11_103	37451
mSp_rep11_104	46684
mSp_rep11_105	57136
mSp_rep11_106	30280
mSp_rep11_107	23867
mSp_rep11_108	41816
mSp_rep11_109	39604
mSp_rep11_110	32095
mSp_rep11_111	8550
mSp_rep11_112	37750
mSp_rep11_113	33978
mSp_rep11_114	36907
mSp_rep11_115	38506
mSp_rep11_116	36589
mSp_rep11_117	40607
mSp_rep11_118	33015
mSp_rep11_119	14903
mSp_rep11_120	30600
mSp_rep11_121	31202
mSp_rep11_122	29453
mSp_rep11_123	21251
mSp_rep11_124	33289
mSp_rep11_125	42041
mSp_rep11_126	29635
mSp_rep11_127	37685
mSp_rep11_128	11053
mSp_rep11_129	39605
mSp_rep11_130	45852
mSp_rep11_131	35813
mSp_rep11_132	53511
mSp_rep11_133	27648
mSp_rep11_134	28333
mSp_rep11_135	21271
mSp_rep11_136	39693
mSp_rep11_137	29209
mSp_rep11_138	38117
mSp_rep11_139	43376
mSp_rep11_140	41710
mSp_rep11_141	33637
mSp_rep11_142	41960
mSp_rep11_143	25059
mSp_rep11_144	37104
mSp_rep11_145	30660
mSp_rep11_146	33317
mSp_rep11_147	34758
mSp_rep11_148	29493
mSp_rep11_149	40601
mSp_rep11_150	25147
mSp_rep11_151	48930
mSp_rep11_152	40657
mSp_rep11_153	42797
mSp_rep11_154	40215
mSp_rep11_155	31682
mSp_rep11_156	43835
mSp_rep11_157	30080
mSp_rep11_158	43682
mSp_rep11_159	8313
mSp_rep11_160	39205
mSp_rep11_161	47681
mSp_rep11_162	34357
mSp_rep11_163	32232
mSp_rep11_164	30816
mSp_rep11_165	14645
mSp_rep11_166	34479
mSp_rep11_167	32336
mSp_rep11_168	35155
mSp_rep11_169	31166
mSp_rep11_170	29776
mSp_rep11_171	41085
mSp_rep11_172	35943
mSp_rep11_173	41407
mSp_rep11_174	35192
mSp_rep11_175	18257
mSp_rep11_176	58100
mSp_rep11_177	40586
mSp_rep11_178	43342
mSp_rep11_179	38969
mSp_rep11_180	35567
mSp_rep11_181	39552
mSp_rep11_182	38315
mSp_rep11_183	41843
mSp_rep11_184	37122
mSp_rep11_185	43478
mSp_rep11_186	45653
mSp_rep11_187	37845
mSp_rep11_188	28084
mSp_rep11_189	37316
mSp_rep11_190	50418
mSp_rep11_191	39432
mSp_rep11_192	35631
mSp_rep11_193	27435
mSp_rep11_194	37436
mSp_rep11_195	38449
mSp_rep11_196	36683
mSp_rep11_197	25335
mSp_rep11_198	22694
mSp_rep11_199	17320
mSp_rep11_200	32508
mSp_rep11_201	11183
mSp_rep11_202	41126
mSp_rep11_203	35002
mSp_rep11_204	35288
mSp_rep11_205	33111
mSp_rep11_206	21673
mSp_rep11_207	15692
mSp_rep11_208	15253
mSp_rep11_209	35226
mSp_rep11_210	28914
mSp_rep11_211	36688
mSp_rep11_212	6789
mSp_rep11_213	23391
mSp_rep11_214	35552
mSp_rep11_215	40423
mSp_rep11_216	32965
mSp_rep11_217	20001
mSp_rep11_218	31182
mSp_rep11_219	30618
mSp_rep11_220	38758
mSp_rep11_221	39344
mSp_rep11_222	31136
mSp_rep11_223	42224
mSp_rep11_224	27091
mSp_rep11_225	13088
mSp_rep11_226	14479
mSp_rep11_227	26585
mSp_rep11_228	30761
mSp_rep11_229	40741
mSp_rep11_230	46783
mSp_rep11_231	36979
mSp_rep11_232	15633
mSp_rep11_233	24299
mSp_rep11_234	36946
mSp_rep11_235	34862
mSp_rep11_236	31701
mSp_rep11_237	35608
mSp_rep11_238	30248
mSp_rep11_239	27938
mSp_rep11_240	25997
mSp_rep11_241	36831
mSp_rep11_242	44091
mSp_rep11_243	5831
mSp_rep11_244	17796
mSp_rep11_245	33284
mSp_rep11_246	39781
mSp_rep11_247	32741
mSp_rep11_248	49688
mSp_rep11_249	30524
mSp_rep11_250	39939
mSp_rep11_251	26510
mSp_rep11_252	30169
mSp_rep11_253	21239
mSp_rep11_254	5904
mSp_rep11_255	37705
mSp_rep11_256	45952
mSp_rep11_257	31503
mSp_rep11_258	15781
mSp_rep11_259	44123
mSp_rep11_260	24468
mSp_rep11_261	39006
mSp_rep11_262	52101
mSp_rep11_263	36527
mSp_rep11_264	46582
mSp_rep11_265	15894
mSp_rep11_266	30098
mSp_rep11_267	30696
mSp_rep11_268	36921
mSp_rep11_269	13175
mSp_rep11_270	27332
mSp_rep11_271	31897
mSp_rep11_272	14334
mSp_rep11_273	33103
mSp_rep11_274	28206
mSp_rep11_275	8449
mSp_rep11_276	46595
mSp_rep11_277	41454
mSp_rep11_278	27835
mSp_rep11_279	24245
mSp_rep11_280	37780
mSp_rep11_281	34162
mSp_rep11_282	30485
mSp_rep11_283	36741
mSp_rep11_284	32641
mSp_rep11_285	35971
mSp_rep11_286	28265
mSp_rep11_287	40770
mSp_rep11_288	29475
mSp_rep11_289	41019
mSp_rep11_290	31729
mSp_rep11_291	35433
mSp_rep11_292	35952
mSp_rep11_293	28416
mSp_rep11_294	33176
mSp_rep11_295	9862
mSp_rep11_296	39604
mSp_rep11_297	41304
mSp_rep11_298	5764
mSp_rep11_299	48649
mSp_rep11_300	27189
mSp_rep11_301	33353
mSp_rep11_302	37010
mSp_rep11_303	36300
mSp_rep11_304	39277
mSp_rep11_305	43363
mSp_rep11_306	33622
mSp_rep11_307	10190
mSp_rep11_308	37465
mSp_rep11_309	39597
mSp_rep11_310	27690
mSp_rep11_311	41369
mSp_rep11_312	33536
mSp_rep11_313	39851
mSp_rep11_314	33967
mSp_rep11_315	28839
mSp_rep11_316	36766
mSp_rep11_317	34028
mSp_rep11_318	20972
mSp_rep11_319	42529
mSp_rep11_320	17932
mSp_rep11_321	23111
mSp_rep11_322	44552
mSp_rep11_323	30016
mSp_rep11_324	26437
mSp_rep11_325	27498
mSp_rep11_326	28272
mSp_rep11_327	47158
mSp_rep11_328	33072
mSp_rep11_329	30704
mSp_rep11_330	49283
mSp_rep11_331	30020
mSp_rep11_332	22455
mSp_rep11_333	33063
mSp_rep11_334	32978
mSp_rep11_335	14839
mSp_rep11_336	36967
mSp_rep11_337	38126
mSp_rep11_338	55148
mSp_rep11_339	16431
mSp_rep11_340	32124
mSp_rep11_341	7228
mSp_rep11_342	31891
mSp_rep11_343	16026
mSp_rep11_344	6512
mSp_rep11_345	31256
mSp_rep11_346	25416
mSp_rep11_347	40424
mSp_rep11_348	66291
mSp_rep11_349	34443
mSp_rep11_350	36526
mSp_rep11_351	24218
mSp_rep11_352	33108
mSp_rep11_353	36386
mSp_rep11_354	30277
mSp_rep11_355	41512
mSp_rep11_356	47507
mSp_rep11_357	46634
mSp_rep11_358	35646
mSp_rep11_359	34479
mSp_rep11_360	36567
mSp_rep11_361	34402
mSp_rep11_362	46119
mSp_rep11_363	32812
mSp_rep11_364	21276
mSp_rep11_365	39687
mSp_rep11_366	32748
mSp_rep11_367	35775
mSp_rep11_368	24651
mSp_rep11_369	31733
mSp_rep11_370	45886
mSp_rep11_371	33660
mSp_rep11_372	36651
mSp_rep11_373	40449
mSp_rep11_374	34390
mSp_rep11_375	39969
mSp_rep11_376	38220
mSp_rep11_377	36551
mSp_rep11_378	27985
mSp_rep11_379	19915
mSp_rep11_380	37540
mSp_rep11_381	40902
mSp_rep11_382	45197
