cell	dup_level
mSp_rep3_001	0.696155
mSp_rep3_002	0.680911
mSp_rep3_003	0.704136
mSp_rep3_004	0.691967
mSp_rep3_005	0.67402
mSp_rep3_006	0.685485
mSp_rep3_007	0.700916
mSp_rep3_008	0.676331
mSp_rep3_009	0.674892
mSp_rep3_010	0.690964
mSp_rep3_011	0.666203
mSp_rep3_012	0.669664
mSp_rep3_013	0.666271
mSp_rep3_014	0.64589
mSp_rep3_015	0.651341
mSp_rep3_016	0.667376
mSp_rep3_017	0.635025
mSp_rep3_018	0.6003
mSp_rep3_019	0.626626
mSp_rep3_020	0.635816
mSp_rep3_021	0.631135
mSp_rep3_022	0.670473
mSp_rep3_023	0.640884
mSp_rep3_024	0.668648
mSp_rep3_025	0.707735
mSp_rep3_026	0.667431
mSp_rep3_027	0.713542
mSp_rep3_028	0.669899
mSp_rep3_029	0.66101
mSp_rep3_030	0.697046
mSp_rep3_031	0.705268
mSp_rep3_032	0.661259
mSp_rep3_033	0.697384
mSp_rep3_034	0.690491
mSp_rep3_035	0.65676
mSp_rep3_036	0.656956
mSp_rep3_037	0.665317
mSp_rep3_038	0.618599
mSp_rep3_039	0.657768
mSp_rep3_040	0.690096
mSp_rep3_041	0.597114
mSp_rep3_042	0.620992
mSp_rep3_043	0.667068
mSp_rep3_044	0.616626
mSp_rep3_045	0.626696
mSp_rep3_046	0.665768
mSp_rep3_047	0.624008
mSp_rep3_048	0.688489
mSp_rep3_049	0.711129
mSp_rep3_050	0.663688
mSp_rep3_051	0.703037
mSp_rep3_052	0.669807
mSp_rep3_053	0.685339
mSp_rep3_054	0.683026
mSp_rep3_055	0.687808
mSp_rep3_056	0.675492
mSp_rep3_057	0.691076
mSp_rep3_058	0.697798
mSp_rep3_059	0.672122
mSp_rep3_060	0.646567
mSp_rep3_061	0.65999
mSp_rep3_062	0.611232
mSp_rep3_063	0.618391
mSp_rep3_064	0.681852
mSp_rep3_065	0.601414
mSp_rep3_066	0.612288
mSp_rep3_067	0.655336
mSp_rep3_068	0.582869
mSp_rep3_069	0.604508
mSp_rep3_070	0.673844
mSp_rep3_071	0.607725
mSp_rep3_072	0.65767
mSp_rep3_073	0.709854
mSp_rep3_074	0.650515
mSp_rep3_075	0.707547
mSp_rep3_076	0.68794
mSp_rep3_077	0.67106
mSp_rep3_078	0.683033
mSp_rep3_079	0.693192
mSp_rep3_080	0.653383
mSp_rep3_081	0.68349
mSp_rep3_082	0.678497
mSp_rep3_083	0.641256
mSp_rep3_084	0.648965
mSp_rep3_085	0.652531
mSp_rep3_086	0.595639
mSp_rep3_087	0.639446
mSp_rep3_088	0.657675
mSp_rep3_089	0.545498
mSp_rep3_090	0.610974
mSp_rep3_091	0.661617
mSp_rep3_092	0.582677
mSp_rep3_093	0.636539
mSp_rep3_094	0.660509
mSp_rep3_095	0.607029
mSp_rep3_096	0.683463
mSp_rep3_097	0.691723
mSp_rep3_098	0.656296
mSp_rep3_099	0.714697
mSp_rep3_100	0.663633
mSp_rep3_101	0.668341
mSp_rep3_102	0.681768
mSp_rep3_103	0.686313
mSp_rep3_104	0.670945
mSp_rep3_105	0.681195
mSp_rep3_106	0.68464
mSp_rep3_107	0.611904
mSp_rep3_108	0.650704
mSp_rep3_109	0.658749
mSp_rep3_110	0.618311
mSp_rep3_111	0.629563
mSp_rep3_112	0.630696
mSp_rep3_113	0.605839
mSp_rep3_114	0.61357
mSp_rep3_115	0.685654
mSp_rep3_116	0.572848
mSp_rep3_117	0.60128
mSp_rep3_118	0.675559
mSp_rep3_119	0.615162
mSp_rep3_120	0.666307
mSp_rep3_121	0.696907
mSp_rep3_122	0.670876
mSp_rep3_123	0.713106
mSp_rep3_124	0.691704
mSp_rep3_125	0.662559
mSp_rep3_126	0.683948
mSp_rep3_127	0.679998
mSp_rep3_128	0.605966
mSp_rep3_129	0.630623
mSp_rep3_130	0.6828
mSp_rep3_131	0.640289
mSp_rep3_132	0.674203
mSp_rep3_133	0.65768
mSp_rep3_134	0.657772
mSp_rep3_135	0.614063
mSp_rep3_136	0.622078
mSp_rep3_137	0.659894
mSp_rep3_138	0.607495
mSp_rep3_139	0.649612
mSp_rep3_140	0.602348
mSp_rep3_141	0.609598
mSp_rep3_142	0.687662
mSp_rep3_143	0.604334
mSp_rep3_144	0.661754
mSp_rep3_145	0.696771
mSp_rep3_146	0.651404
mSp_rep3_147	0.696486
mSp_rep3_148	0.621996
mSp_rep3_149	0.627517
mSp_rep3_150	0.681413
mSp_rep3_151	0.664968
mSp_rep3_152	0.665053
mSp_rep3_153	0.678613
mSp_rep3_154	0.679424
mSp_rep3_155	0.644488
mSp_rep3_156	0.638563
mSp_rep3_157	0.661356
mSp_rep3_158	0.604826
mSp_rep3_159	0.598202
mSp_rep3_160	0.593955
mSp_rep3_161	0.57572
mSp_rep3_162	0.603348
mSp_rep3_163	0.654813
mSp_rep3_164	0.471024
mSp_rep3_165	0.608182
mSp_rep3_166	0.648937
mSp_rep3_167	0.599964
mSp_rep3_168	0.641886
mSp_rep3_169	0.691152
mSp_rep3_170	0.657671
mSp_rep3_171	0.701293
mSp_rep3_172	0.685146
mSp_rep3_173	0.660654
mSp_rep3_174	0.686544
mSp_rep3_175	0.693224
mSp_rep3_176	0.672004
mSp_rep3_177	0.675632
mSp_rep3_178	0.658941
mSp_rep3_179	0.647022
mSp_rep3_180	0.659215
mSp_rep3_181	0.661951
mSp_rep3_182	0.647087
mSp_rep3_183	0.593301
mSp_rep3_184	0.617088
mSp_rep3_185	0.579088
mSp_rep3_186	0.607106
mSp_rep3_187	0.641094
mSp_rep3_188	0.611367
mSp_rep3_189	0.625726
mSp_rep3_190	0.65332
mSp_rep3_191	0.614045
mSp_rep3_192	0.652106
mSp_rep3_193	0.698385
mSp_rep3_194	0.664049
mSp_rep3_195	0.714158
mSp_rep3_196	0.661916
mSp_rep3_197	0.654718
mSp_rep3_198	0.683424
mSp_rep3_199	0.658316
mSp_rep3_200	0.665189
mSp_rep3_201	0.670462
mSp_rep3_202	0.670458
mSp_rep3_203	0.637971
mSp_rep3_204	0.678846
mSp_rep3_205	0.662295
mSp_rep3_206	0.605436
mSp_rep3_207	0.617776
mSp_rep3_208	0.653835
mSp_rep3_209	0.65641
mSp_rep3_210	0.630128
