cell	dup_level
mSp_rep3_001	30673
mSp_rep3_002	6673
mSp_rep3_003	118510
mSp_rep3_004	33781
mSp_rep3_005	30995
mSp_rep3_006	28521
mSp_rep3_007	22957
mSp_rep3_008	41871
mSp_rep3_009	32025
mSp_rep3_010	27736
mSp_rep3_011	30638
mSp_rep3_012	34580
mSp_rep3_013	29633
mSp_rep3_014	28012
mSp_rep3_015	26742
mSp_rep3_016	36210
mSp_rep3_017	20326
mSp_rep3_018	17020
mSp_rep3_019	17916
mSp_rep3_020	21405
mSp_rep3_021	17077
mSp_rep3_022	21392
mSp_rep3_023	20152
mSp_rep3_024	30670
mSp_rep3_025	22571
mSp_rep3_026	6784
mSp_rep3_027	29501
mSp_rep3_028	31103
mSp_rep3_029	27652
mSp_rep3_030	28141
mSp_rep3_031	46186
mSp_rep3_032	31752
mSp_rep3_033	75333
mSp_rep3_034	25206
mSp_rep3_035	77735
mSp_rep3_036	8494
mSp_rep3_037	26659
mSp_rep3_038	25412
mSp_rep3_039	28056
mSp_rep3_040	610
mSp_rep3_041	19697
mSp_rep3_042	3185
mSp_rep3_043	26763
mSp_rep3_044	23948
mSp_rep3_045	17139
mSp_rep3_046	55112
mSp_rep3_047	17770
mSp_rep3_048	12246
mSp_rep3_049	33446
mSp_rep3_050	32280
mSp_rep3_051	33453
mSp_rep3_052	30568
mSp_rep3_053	59994
mSp_rep3_054	39651
mSp_rep3_055	21245
mSp_rep3_056	31466
mSp_rep3_057	31941
mSp_rep3_058	25906
mSp_rep3_059	1315
mSp_rep3_060	35268
mSp_rep3_061	60340
mSp_rep3_062	26256
mSp_rep3_063	25155
mSp_rep3_064	34234
mSp_rep3_065	33122
mSp_rep3_066	28543
mSp_rep3_067	10799
mSp_rep3_068	21388
mSp_rep3_069	30536
mSp_rep3_070	50073
mSp_rep3_071	29715
mSp_rep3_072	31939
mSp_rep3_073	30322
mSp_rep3_074	17012
mSp_rep3_075	26376
mSp_rep3_076	31324
mSp_rep3_077	22573
mSp_rep3_078	39042
mSp_rep3_079	27440
mSp_rep3_080	23600
mSp_rep3_081	220522
mSp_rep3_082	35652
mSp_rep3_083	31586
mSp_rep3_084	22410
mSp_rep3_085	31798
mSp_rep3_086	24277
mSp_rep3_087	24813
mSp_rep3_088	31319
mSp_rep3_089	14662
mSp_rep3_090	22738
mSp_rep3_091	23426
mSp_rep3_092	120
mSp_rep3_093	52049
mSp_rep3_094	31687
mSp_rep3_095	34254
mSp_rep3_096	28370
mSp_rep3_097	35117
mSp_rep3_098	29169
mSp_rep3_099	31597
mSp_rep3_100	47362
mSp_rep3_101	20758
mSp_rep3_102	20177
mSp_rep3_103	37657
mSp_rep3_104	31587
mSp_rep3_105	10242
mSp_rep3_106	25868
mSp_rep3_107	25875
mSp_rep3_108	22032
mSp_rep3_109	26780
mSp_rep3_110	50952
mSp_rep3_111	22653
mSp_rep3_112	24394
mSp_rep3_113	26342
mSp_rep3_114	45222
mSp_rep3_115	22084
mSp_rep3_116	23094
mSp_rep3_117	8924
mSp_rep3_118	22695
mSp_rep3_119	7047
mSp_rep3_120	43718
mSp_rep3_121	28610
mSp_rep3_122	36064
mSp_rep3_123	22914
mSp_rep3_124	32979
mSp_rep3_125	21778
mSp_rep3_126	21938
mSp_rep3_127	32829
mSp_rep3_128	24298
mSp_rep3_129	56192
mSp_rep3_130	50232
mSp_rep3_131	22516
mSp_rep3_132	106516
mSp_rep3_133	24596
mSp_rep3_134	26228
