cell	dup_level
mSp_rep3_001	32433
mSp_rep3_002	7066
mSp_rep3_003	124922
mSp_rep3_004	35528
mSp_rep3_005	32718
mSp_rep3_006	30144
mSp_rep3_007	24154
mSp_rep3_008	44201
mSp_rep3_009	33745
mSp_rep3_010	29356
mSp_rep3_011	32301
mSp_rep3_012	36584
mSp_rep3_013	31379
mSp_rep3_014	29641
mSp_rep3_015	28213
mSp_rep3_016	38297
mSp_rep3_017	21516
mSp_rep3_018	18188
mSp_rep3_019	18983
mSp_rep3_020	22712
mSp_rep3_021	18250
mSp_rep3_022	22859
mSp_rep3_023	21369
mSp_rep3_024	32362
mSp_rep3_025	23855
mSp_rep3_026	7180
mSp_rep3_027	31071
mSp_rep3_028	32789
mSp_rep3_029	29237
mSp_rep3_030	29693
mSp_rep3_031	48673
mSp_rep3_032	33618
mSp_rep3_033	79866
mSp_rep3_034	26558
mSp_rep3_035	82078
mSp_rep3_036	9024
mSp_rep3_037	28211
mSp_rep3_038	26933
mSp_rep3_039	29686
mSp_rep3_040	633
mSp_rep3_041	21133
mSp_rep3_042	3425
mSp_rep3_043	28371
mSp_rep3_044	25425
mSp_rep3_045	18153
mSp_rep3_046	58325
mSp_rep3_047	18760
mSp_rep3_048	12997
mSp_rep3_049	35198
mSp_rep3_050	33875
mSp_rep3_051	35281
mSp_rep3_052	32361
mSp_rep3_053	63277
mSp_rep3_054	41957
mSp_rep3_055	22288
mSp_rep3_056	33204
mSp_rep3_057	33552
mSp_rep3_058	27245
mSp_rep3_059	1407
mSp_rep3_060	37442
mSp_rep3_061	63607
mSp_rep3_062	27700
mSp_rep3_063	26560
mSp_rep3_064	36235
mSp_rep3_065	35146
mSp_rep3_066	30346
mSp_rep3_067	11456
mSp_rep3_068	22679
mSp_rep3_069	32440
mSp_rep3_070	52955
mSp_rep3_071	31503
mSp_rep3_072	33542
mSp_rep3_073	31768
mSp_rep3_074	18038
mSp_rep3_075	27869
mSp_rep3_076	32953
mSp_rep3_077	23893
mSp_rep3_078	41146
mSp_rep3_079	28930
mSp_rep3_080	24975
mSp_rep3_081	233613
mSp_rep3_082	37509
mSp_rep3_083	33402
mSp_rep3_084	23883
mSp_rep3_085	33441
mSp_rep3_086	25591
mSp_rep3_087	26261
mSp_rep3_088	33106
mSp_rep3_089	15595
mSp_rep3_090	24198
mSp_rep3_091	24934
mSp_rep3_092	120
mSp_rep3_093	55259
mSp_rep3_094	33559
mSp_rep3_095	36354
mSp_rep3_096	29962
mSp_rep3_097	36967
mSp_rep3_098	30695
mSp_rep3_099	33287
mSp_rep3_100	49868
mSp_rep3_101	21846
mSp_rep3_102	21237
mSp_rep3_103	39797
mSp_rep3_104	33438
mSp_rep3_105	10777
mSp_rep3_106	27252
mSp_rep3_107	27480
mSp_rep3_108	23450
mSp_rep3_109	28332
mSp_rep3_110	53868
mSp_rep3_111	24031
mSp_rep3_112	25853
mSp_rep3_113	28258
mSp_rep3_114	48019
mSp_rep3_115	23248
mSp_rep3_116	24530
mSp_rep3_117	9530
mSp_rep3_118	24082
mSp_rep3_119	7469
mSp_rep3_120	46175
mSp_rep3_121	30101
mSp_rep3_122	38096
mSp_rep3_123	24224
mSp_rep3_124	34857
mSp_rep3_125	23116
mSp_rep3_126	23138
mSp_rep3_127	34534
mSp_rep3_128	25970
mSp_rep3_129	59895
mSp_rep3_130	52951
mSp_rep3_131	23969
mSp_rep3_132	113062
mSp_rep3_133	26001
mSp_rep3_134	27752
mSp_rep3_135	25335
mSp_rep3_136	18441
mSp_rep3_137	31799
mSp_rep3_138	22518
mSp_rep3_139	26222
mSp_rep3_140	18755
mSp_rep3_141	27007
mSp_rep3_142	19433
mSp_rep3_143	34306
mSp_rep3_144	41224
mSp_rep3_145	32540
mSp_rep3_146	35316
mSp_rep3_147	21310
mSp_rep3_148	29169
mSp_rep3_149	35704
mSp_rep3_150	28285
mSp_rep3_151	42483
mSp_rep3_152	44850
mSp_rep3_153	65996
mSp_rep3_154	39217
mSp_rep3_155	20622
mSp_rep3_156	33182
mSp_rep3_157	7765
mSp_rep3_158	29952
mSp_rep3_159	21215
mSp_rep3_160	17707
mSp_rep3_161	24401
mSp_rep3_162	34050
mSp_rep3_163	45868
mSp_rep3_164	18303
mSp_rep3_165	29966
mSp_rep3_166	20265
mSp_rep3_167	37248
mSp_rep3_168	68560
mSp_rep3_169	2281
mSp_rep3_170	27865
mSp_rep3_171	41740
mSp_rep3_172	12749
mSp_rep3_173	22434
mSp_rep3_174	34126
mSp_rep3_175	48887
mSp_rep3_176	22748
mSp_rep3_177	32486
mSp_rep3_178	73432
mSp_rep3_179	10720
mSp_rep3_180	15323
mSp_rep3_181	36566
mSp_rep3_182	15169
mSp_rep3_183	24690
mSp_rep3_184	22994
mSp_rep3_185	21643
mSp_rep3_186	32357
mSp_rep3_187	21262
mSp_rep3_188	24723
mSp_rep3_189	21954
mSp_rep3_190	30042
mSp_rep3_191	24216
mSp_rep3_192	24699
mSp_rep3_193	19322
mSp_rep3_194	5901
mSp_rep3_195	23060
mSp_rep3_196	11248
mSp_rep3_197	4472
mSp_rep3_198	14984
mSp_rep3_199	32170
mSp_rep3_200	42329
mSp_rep3_201	30632
mSp_rep3_202	19053
mSp_rep3_203	26027
mSp_rep3_204	33713
mSp_rep3_205	23168
mSp_rep3_206	28160
mSp_rep3_207	30759
mSp_rep3_208	12315
mSp_rep3_209	43744
mSp_rep3_210	50636
mSp_rep3_211	27902
mSp_rep3_212	28265
mSp_rep3_213	21725
mSp_rep3_214	58137
mSp_rep3_215	26889
mSp_rep3_216	71478
mSp_rep3_217	15165
mSp_rep3_218	47046
mSp_rep3_219	23770
mSp_rep3_220	15624
mSp_rep3_221	12900
mSp_rep3_222	42529
mSp_rep3_223	1997
mSp_rep3_224	20318
mSp_rep3_225	46722
mSp_rep3_226	55531
mSp_rep3_227	32164
mSp_rep3_228	45444
mSp_rep3_229	17039
mSp_rep3_230	38174
mSp_rep3_231	29640
mSp_rep3_232	10789
mSp_rep3_233	30525
mSp_rep3_234	26041
mSp_rep3_235	23947
mSp_rep3_236	23777
mSp_rep3_237	27041
mSp_rep3_238	21696
mSp_rep3_239	14361
mSp_rep3_240	33492
mSp_rep3_241	14772
mSp_rep3_242	28300
mSp_rep3_243	34700
mSp_rep3_244	22727
mSp_rep3_245	10493
mSp_rep3_246	2977
mSp_rep3_247	44245
mSp_rep3_248	22062
mSp_rep3_249	42740
mSp_rep3_250	51924
mSp_rep3_251	36539
mSp_rep3_252	33634
mSp_rep3_253	36427
mSp_rep3_254	37707
mSp_rep3_255	42123
mSp_rep3_256	
mSp_rep3_257	61279
mSp_rep3_258	21420
mSp_rep3_259	26019
mSp_rep3_260	22053
mSp_rep3_261	15194
mSp_rep3_262	37956
mSp_rep3_263	28421
mSp_rep3_264	23924
mSp_rep3_265	7286
mSp_rep3_266	27268
mSp_rep3_267	35751
mSp_rep3_268	23704
mSp_rep3_269	2651
mSp_rep3_270	
mSp_rep3_271	35409
mSp_rep3_272	20985
mSp_rep3_273	24703
mSp_rep3_274	4669
mSp_rep3_275	29985
mSp_rep3_276	29731
mSp_rep3_277	29717
mSp_rep3_278	10577
mSp_rep3_279	26002
mSp_rep3_280	10196
mSp_rep3_281	19793
mSp_rep3_282	7051
mSp_rep3_283	12433
mSp_rep3_284	29102
mSp_rep3_285	30954
mSp_rep3_286	29714
mSp_rep3_287	142964
mSp_rep3_288	52468
mSp_rep3_289	20674
mSp_rep3_290	33677
mSp_rep3_291	29514
mSp_rep3_292	40949
mSp_rep3_293	37195
mSp_rep3_294	30118
mSp_rep3_295	12965
mSp_rep3_296	28688
mSp_rep3_297	32271
mSp_rep3_298	31187
mSp_rep3_299	28632
mSp_rep3_300	44407
mSp_rep3_301	32202
mSp_rep3_302	27341
mSp_rep3_303	13359
mSp_rep3_304	11726
mSp_rep3_305	10497
mSp_rep3_306	35364
mSp_rep3_307	25575
mSp_rep3_308	13895
mSp_rep3_309	19617
mSp_rep3_310	23149
mSp_rep3_311	23000
mSp_rep3_312	5133
mSp_rep3_313	
mSp_rep3_314	27513
mSp_rep3_315	21486
mSp_rep3_316	27819
mSp_rep3_317	48593
mSp_rep3_318	32827
mSp_rep3_319	28452
mSp_rep3_320	25222
mSp_rep3_321	53628
mSp_rep3_322	2787
mSp_rep3_323	31530
mSp_rep3_324	38137
mSp_rep3_325	14435
mSp_rep3_326	8511
mSp_rep3_327	22728
mSp_rep3_328	28716
mSp_rep3_329	24869
mSp_rep3_330	64280
mSp_rep3_331	148349
mSp_rep3_332	23097
mSp_rep3_333	18057
mSp_rep3_334	31026
mSp_rep3_335	21270
mSp_rep3_336	28538
mSp_rep3_337	30075
mSp_rep3_338	44962
mSp_rep3_339	22058
mSp_rep3_340	27423
mSp_rep3_341	38849
mSp_rep3_342	27091
mSp_rep3_343	25818
mSp_rep3_344	55611
mSp_rep3_345	36950
mSp_rep3_346	25919
mSp_rep3_347	28375
mSp_rep3_348	50527
mSp_rep3_349	27645
mSp_rep3_350	32010
mSp_rep3_351	58518
mSp_rep3_352	39301
mSp_rep3_353	24330
mSp_rep3_354	19380
mSp_rep3_355	25674
mSp_rep3_356	22564
mSp_rep3_357	27364
mSp_rep3_358	27960
mSp_rep3_359	34297
mSp_rep3_360	32474
mSp_rep3_361	15703
mSp_rep3_362	29161
mSp_rep3_363	34221
mSp_rep3_364	35561
mSp_rep3_365	28456
mSp_rep3_366	
mSp_rep3_367	42435
mSp_rep3_368	2312
mSp_rep3_369	32583
mSp_rep3_370	24754
mSp_rep3_371	31587
mSp_rep3_372	
mSp_rep3_373	22421
mSp_rep3_374	25545
mSp_rep3_375	11023
mSp_rep3_376	30209
mSp_rep3_377	37192
mSp_rep3_378	
mSp_rep3_379	45380
mSp_rep3_380	26774
mSp_rep3_381	35304
mSp_rep3_382	54091
mSp_rep3_383	28954
mSp_rep3_384	
