cell	mt_content
mSp_rep3_001	0.027172
mSp_rep3_002	0.147159
mSp_rep3_003	0.030892
mSp_rep3_004	0.008411
mSp_rep3_005	0.015591
mSp_rep3_006	0.009886
mSp_rep3_007	0.010664
mSp_rep3_008	0.025758
mSp_rep3_009	0.033087
mSp_rep3_010	0.044074
mSp_rep3_011	0.033597
mSp_rep3_012	0.012879
mSp_rep3_013	0.020529
mSp_rep3_014	0.013491
mSp_rep3_015	0.006386
mSp_rep3_016	0.050220
mSp_rep3_017	0.017490
mSp_rep3_018	0.026028
mSp_rep3_019	0.013783
mSp_rep3_020	0.037399
mSp_rep3_021	0.009407
mSp_rep3_022	0.025145
mSp_rep3_023	0.022078
mSp_rep3_024	0.019092
mSp_rep3_025	0.018733
mSp_rep3_026	0.085234
mSp_rep3_027	0.018376
mSp_rep3_028	0.000797
mSp_rep3_029	0.010455
mSp_rep3_030	0.041900
mSp_rep3_031	0.022564
mSp_rep3_032	0.058470
mSp_rep3_033	0.000552
mSp_rep3_034	0.009856
mSp_rep3_035	0.019706
mSp_rep3_036	0.024640
mSp_rep3_037	0.018668
mSp_rep3_038	0.010705
mSp_rep3_039	0.010944
mSp_rep3_040	0.710443
mSp_rep3_041	0.030076
mSp_rep3_042	0.232654
mSp_rep3_043	0.014877
mSp_rep3_044	0.023564
mSp_rep3_045	0.004675
mSp_rep3_046	0.032808
mSp_rep3_047	0.031779
mSp_rep3_048	0.059128
mSp_rep3_049	0.014743
mSp_rep3_050	0.021568
mSp_rep3_051	0.012981
mSp_rep3_052	0.021390
mSp_rep3_053	0.021310
mSp_rep3_054	0.013489
mSp_rep3_055	0.037264
mSp_rep3_056	0.021378
mSp_rep3_057	0.004812
mSp_rep3_058	0.008094
mSp_rep3_059	0.281941
mSp_rep3_060	0.012132
mSp_rep3_061	0.021941
mSp_rep3_062	0.009982
mSp_rep3_063	0.007655
mSp_rep3_064	0.005983
mSp_rep3_065	0.015942
mSp_rep3_066	0.029541
mSp_rep3_067	0.018445
mSp_rep3_068	0.002698
mSp_rep3_069	0.019982
mSp_rep3_070	0.008553
mSp_rep3_071	0.012066
mSp_rep3_072	0.028750
mSp_rep3_073	0.027403
mSp_rep3_074	0.033043
mSp_rep3_075	0.028906
mSp_rep3_076	0.018903
mSp_rep3_077	0.023671
mSp_rep3_078	0.019046
mSp_rep3_079	0.028457
mSp_rep3_080	0.025347
mSp_rep3_081	0.000180
mSp_rep3_082	0.017875
mSp_rep3_083	0.033159
mSp_rep3_084	0.028298
mSp_rep3_085	0.056960
mSp_rep3_086	0.063200
mSp_rep3_087	0.007755
mSp_rep3_088	0.021875
mSp_rep3_089	0.022174
mSp_rep3_090	0.009170
mSp_rep3_091	0.008510
mSp_rep3_092	0.907563
mSp_rep3_093	0.021575
mSp_rep3_094	0.014623
mSp_rep3_095	0.024985
mSp_rep3_096	0.003382
mSp_rep3_097	0.020264
mSp_rep3_098	0.005571
mSp_rep3_099	0.005687
mSp_rep3_100	0.015035
mSp_rep3_101	0.008692
mSp_rep3_102	0.024620
mSp_rep3_103	0.025133
mSp_rep3_104	0.016342
mSp_rep3_105	0.078592
mSp_rep3_106	0.039761
mSp_rep3_107	0.001511
mSp_rep3_108	0.034007
mSp_rep3_109	0.003159
mSp_rep3_110	0.012899
mSp_rep3_111	0.019076
mSp_rep3_112	0.041820
mSp_rep3_113	0.017346
mSp_rep3_114	0.032071
mSp_rep3_115	0.012256
mSp_rep3_116	0.040645
mSp_rep3_117	0.051790
mSp_rep3_118	0.011884
mSp_rep3_119	0.031847
mSp_rep3_120	0.018063
mSp_rep3_121	0.044128
mSp_rep3_122	0.029873
mSp_rep3_123	0.023778
mSp_rep3_124	0.036511
mSp_rep3_125	0.028839
mSp_rep3_126	0.020642
mSp_rep3_127	0.031328
mSp_rep3_128	0.005235
mSp_rep3_129	0.047707
mSp_rep3_130	0.051640
mSp_rep3_131	0.012494
mSp_rep3_132	0.018476
mSp_rep3_133	0.001547
mSp_rep3_134	0.035265
mSp_rep3_135	0.003636
mSp_rep3_136	0.009050
mSp_rep3_137	0.027671
mSp_rep3_138	0.013461
mSp_rep3_139	0.012253
mSp_rep3_140	0.029501
mSp_rep3_141	0.025361
mSp_rep3_142	0.031387
mSp_rep3_143	0.011678
mSp_rep3_144	0.013316
mSp_rep3_145	0.029578
mSp_rep3_146	0.002365
mSp_rep3_147	0.034346
mSp_rep3_148	0.023668
mSp_rep3_149	0.011427
mSp_rep3_150	0.016144
mSp_rep3_151	0.025478
mSp_rep3_152	0.009637
mSp_rep3_153	0.060898
mSp_rep3_154	0.011235
mSp_rep3_155	0.014752
