cell	dup_level
mSp_rep3_213	0.948081
mSp_rep3_214	0.954253
mSp_rep3_215	0.946031
mSp_rep3_216	0.949905
mSp_rep3_217	0.960189
mSp_rep3_218	0.955239
mSp_rep3_219	0.96111
mSp_rep3_220	0.96091
mSp_rep3_221	0.956299
mSp_rep3_222	0.959522
mSp_rep3_223	0.958256
mSp_rep3_224	0.948542
mSp_rep3_225	0.956018
mSp_rep3_226	0.958852
mSp_rep3_227	0.955731
mSp_rep3_228	0.955544
mSp_rep3_229	0.955389
mSp_rep3_230	0.949022
mSp_rep3_231	0.944044
mSp_rep3_232	0.954865
mSp_rep3_233	0.952501
mSp_rep3_234	0.950042
mSp_rep3_235	0.952759
mSp_rep3_236	0.946757
mSp_rep3_237	0.950841
mSp_rep3_238	0.954245
mSp_rep3_239	0.946183
mSp_rep3_240	0.953651
mSp_rep3_241	0.959816
mSp_rep3_242	0.943302
mSp_rep3_243	0.952845
mSp_rep3_244	0.951903
mSp_rep3_245	0.937379
mSp_rep3_246	0.950996
mSp_rep3_247	0.947055
mSp_rep3_248	0.94024
mSp_rep3_249	0.946824
mSp_rep3_250	0.951226
mSp_rep3_251	0.93493
mSp_rep3_252	0.953624
mSp_rep3_253	0.950976
mSp_rep3_254	0.94238
mSp_rep3_255	0.942805
mSp_rep3_256	0
mSp_rep3_257	0.94376
mSp_rep3_258	0.936411
mSp_rep3_259	0.946577
mSp_rep3_260	0.937171
mSp_rep3_261	0.921386
mSp_rep3_262	0.953464
mSp_rep3_263	0.941013
mSp_rep3_264	0.948143
mSp_rep3_265	0.960598
mSp_rep3_266	0.946291
mSp_rep3_267	0.960011
mSp_rep3_268	0.959449
mSp_rep3_269	0.949009
mSp_rep3_270	0
mSp_rep3_271	0.961117
mSp_rep3_272	0.957314
mSp_rep3_273	0.957192
mSp_rep3_274	0.961235
mSp_rep3_275	0.953608
mSp_rep3_276	0.952155
mSp_rep3_277	0.949103
mSp_rep3_278	0.936626
mSp_rep3_279	0.93455
mSp_rep3_280	0.948431
mSp_rep3_281	0.944858
mSp_rep3_282	0.943105
mSp_rep3_283	0.946069
mSp_rep3_284	0.933224
mSp_rep3_285	0.944597
mSp_rep3_286	0.954428
mSp_rep3_287	0.949767
mSp_rep3_288	0.953965
mSp_rep3_289	0.960348
mSp_rep3_290	0.95273
mSp_rep3_291	0.960393
mSp_rep3_292	0.961434
mSp_rep3_293	0.955731
mSp_rep3_294	0.960398
mSp_rep3_295	0.960044
mSp_rep3_296	0.957145
mSp_rep3_297	0.954643
mSp_rep3_298	0.9613
mSp_rep3_299	0.956283
mSp_rep3_300	0.959693
mSp_rep3_301	0.959052
mSp_rep3_302	0.948016
mSp_rep3_303	0.94045
mSp_rep3_304	0.94275
mSp_rep3_305	0.941802
mSp_rep3_306	0.945128
mSp_rep3_307	0.953574
mSp_rep3_308	0.934738
mSp_rep3_309	0.945759
mSp_rep3_310	0.947849
mSp_rep3_311	0.939427
mSp_rep3_312	0.957225
mSp_rep3_313	0
mSp_rep3_314	0.951579
mSp_rep3_315	0.960071
mSp_rep3_316	0.960176
mSp_rep3_317	0.958818
mSp_rep3_318	0.959057
mSp_rep3_319	0.957255
mSp_rep3_320	0.955291
mSp_rep3_321	0.955027
mSp_rep3_322	0.956606
mSp_rep3_323	0.950238
mSp_rep3_324	0.95387
mSp_rep3_325	0.945931
mSp_rep3_326	0.943807
mSp_rep3_327	0.944331
mSp_rep3_328	0.942719
mSp_rep3_329	0.941411
mSp_rep3_330	0.94546
mSp_rep3_331	0.947448
mSp_rep3_332	0.929653
mSp_rep3_333	0.940806
mSp_rep3_334	0.951007
mSp_rep3_335	0.940999
mSp_rep3_336	0.953259
mSp_rep3_337	0.953945
mSp_rep3_338	0.95064
mSp_rep3_339	0.959673
mSp_rep3_340	0.956545
mSp_rep3_341	0.94921
mSp_rep3_342	0.957771
mSp_rep3_343	0.95299
mSp_rep3_344	0.955826
mSp_rep3_345	0.95451
mSp_rep3_346	0.958508
mSp_rep3_347	0.951519
mSp_rep3_348	0.956078
mSp_rep3_349	0.94773
mSp_rep3_350	0.945543
mSp_rep3_351	0.942743
mSp_rep3_352	0.942722
mSp_rep3_353	0.940918
mSp_rep3_354	0.939723
mSp_rep3_355	0.948744
mSp_rep3_356	0.936713
mSp_rep3_357	0.939038
mSp_rep3_358	0.951684
mSp_rep3_359	0.942197
mSp_rep3_360	0.943904
mSp_rep3_361	0.96175
mSp_rep3_362	0.954538
mSp_rep3_363	0.962433
mSp_rep3_364	0.957753
mSp_rep3_365	0.955196
mSp_rep3_366	0
mSp_rep3_367	0.957851
mSp_rep3_368	0.953009
mSp_rep3_369	0.95404
mSp_rep3_370	0.960693
mSp_rep3_371	0.955963
mSp_rep3_372	0
mSp_rep3_373	0.954634
mSp_rep3_374	0.951448
mSp_rep3_375	0.947448
mSp_rep3_376	0.957806
mSp_rep3_377	0.955276
mSp_rep3_378	0
mSp_rep3_379	0.951628
mSp_rep3_380	0.943118
mSp_rep3_381	0.946378
mSp_rep3_382	0.956369
mSp_rep3_383	0.946937
mSp_rep3_384	0
