cell	dup_level
mSp_rep3_246	3332
mSp_rep3_247	48721
mSp_rep3_248	24545
mSp_rep3_249	47268
mSp_rep3_250	57121
mSp_rep3_251	41011
mSp_rep3_252	36728
mSp_rep3_253	39651
mSp_rep3_254	41763
mSp_rep3_255	47039
mSp_rep3_256	
mSp_rep3_257	67959
mSp_rep3_258	24097
mSp_rep3_259	28973
mSp_rep3_260	24598
mSp_rep3_261	17399
mSp_rep3_262	42187
mSp_rep3_263	31614
mSp_rep3_264	26440
mSp_rep3_265	7889
mSp_rep3_266	30000
mSp_rep3_267	38744
mSp_rep3_268	25564
mSp_rep3_269	2978
mSp_rep3_270	
mSp_rep3_271	38437
mSp_rep3_272	22711
mSp_rep3_273	26957
mSp_rep3_274	5130
mSp_rep3_275	32575
mSp_rep3_276	32789
mSp_rep3_277	32513
mSp_rep3_278	11819
mSp_rep3_279	29248
mSp_rep3_280	11317
mSp_rep3_281	21768
mSp_rep3_282	7884
mSp_rep3_283	13825
mSp_rep3_284	32837
mSp_rep3_285	34239
mSp_rep3_286	32427
mSp_rep3_287	156312
mSp_rep3_288	57628
mSp_rep3_289	22346
mSp_rep3_290	36866
mSp_rep3_291	31976
mSp_rep3_292	44520
mSp_rep3_293	40302
mSp_rep3_294	32385
mSp_rep3_295	14091
mSp_rep3_296	31202
mSp_rep3_297	35368
mSp_rep3_298	33493
mSp_rep3_299	31130
mSp_rep3_300	48258
mSp_rep3_301	34780
mSp_rep3_302	30221
mSp_rep3_303	14910
mSp_rep3_304	13170
mSp_rep3_305	11711
mSp_rep3_306	39202
mSp_rep3_307	28068
mSp_rep3_308	15667
mSp_rep3_309	21808
mSp_rep3_310	25883
mSp_rep3_311	25713
mSp_rep3_312	5688
mSp_rep3_313	
mSp_rep3_314	30227
mSp_rep3_315	23667
mSp_rep3_316	30112
mSp_rep3_317	53139
mSp_rep3_318	35821
mSp_rep3_319	30981
mSp_rep3_320	27868
mSp_rep3_321	58841
mSp_rep3_322	3229
mSp_rep3_323	34679
mSp_rep3_324	42131
mSp_rep3_325	16146
mSp_rep3_326	9710
mSp_rep3_327	25478
mSp_rep3_328	32184
mSp_rep3_329	27956
mSp_rep3_330	71871
mSp_rep3_331	164227
mSp_rep3_332	26678
mSp_rep3_333	20190
mSp_rep3_334	34708
mSp_rep3_335	23804
mSp_rep3_336	31720
mSp_rep3_337	32953
mSp_rep3_338	49347
mSp_rep3_339	24183
mSp_rep3_340	29910
mSp_rep3_341	42727
mSp_rep3_342	29680
mSp_rep3_343	28292
mSp_rep3_344	60542
mSp_rep3_345	40486
mSp_rep3_346	28249
mSp_rep3_347	31286
mSp_rep3_348	55444
mSp_rep3_349	30578
mSp_rep3_350	35393
mSp_rep3_351	64767
mSp_rep3_352	44355
mSp_rep3_353	27198
mSp_rep3_354	21717
mSp_rep3_355	28515
mSp_rep3_356	25407
mSp_rep3_357	30769
mSp_rep3_358	30818
mSp_rep3_359	38243
mSp_rep3_360	35992
mSp_rep3_361	16833
mSp_rep3_362	31577
mSp_rep3_363	37077
mSp_rep3_364	38702
mSp_rep3_365	31013
mSp_rep3_366	
mSp_rep3_367	46196
mSp_rep3_368	2624
mSp_rep3_369	35526
mSp_rep3_370	26803
mSp_rep3_371	34277
mSp_rep3_372	
mSp_rep3_373	24473
mSp_rep3_374	27940
mSp_rep3_375	12196
mSp_rep3_376	32921
mSp_rep3_377	40528
mSp_rep3_378	
mSp_rep3_379	49795
mSp_rep3_380	29560
mSp_rep3_381	38909
mSp_rep3_382	58936
mSp_rep3_383	31691
mSp_rep3_384	
