cell	dup_level
plate_mESC_rep2_82	0.95218
plate_mESC_rep2_83	0.945804
plate_mESC_rep2_84	0.946397
plate_mESC_rep2_85	0.945306
plate_mESC_rep2_86	0.945443
plate_mESC_rep2_87	0.939805
plate_mESC_rep2_88	0.949154
plate_mESC_rep2_89	0.948217
plate_mESC_rep2_90	0.94247
plate_mESC_rep2_91	0.950821
plate_mESC_rep2_92	0.944945
plate_mESC_rep2_93	0.946524
plate_mESC_rep2_94	0.953231
plate_mESC_rep2_95	0.946815
plate_mESC_rep2_96	0.956139
