,frip,uniq_frags,mt_content,sequencing_depth,dup_level,frac_open,mapping_rate,plate,batch,t-SNE Dimension 1,t-SNE Dimension 2,cluster_labels,putative_cell_type
mSp_rep7_100,0.72333,24816.0,0.027777,391964,0.925914,0.153678,96.08,rep7,Sp#2 (n=2688),17.181045591490484,2.0809859140083202,7,Transitional_B
mSp_rep7_135,0.7258060000000001,37640.0,0.015768,888044,0.952753,0.192862,97.02,rep7,Sp#2 (n=2688),-25.516578904584062,-8.586651175400599,6,Naive_CD8_T
mSp_rep7_131,0.683629,42002.0,0.01547,925258,0.94873,0.211808,96.24,rep7,Sp#2 (n=2688),13.872315842648883,7.053807708884402,7,Transitional_B
mSp_rep7_333,0.748372,32858.0,0.004876,603781,0.940015,0.180604,96.61,rep7,Sp#2 (n=2688),0.5698163942357181,9.257516835439016,1,Follicular_B
mSp_rep7_226,0.750084,14501.0,0.029059,361769,0.954436,0.097136,97.24,rep7,Sp#2 (n=2688),-17.613464026221695,-18.441946323825498,2,Memory_CD8_T
mSp_rep7_160,0.743226,31579.0,0.007324,638059,0.945553,0.17439100000000002,96.96,rep7,Sp#2 (n=2688),12.891235481141525,-19.485240537123158,3,Naive_CD4_T
mSp_rep7_134,0.747916,27831.0,0.025389,605102,0.948327,0.15721300000000002,97.01,rep7,Sp#2 (n=2688),16.806694405407843,-18.170596072000908,3,Naive_CD4_T
mSp_rep7_353,0.743942,15348.0,0.013434,288339,0.940586,0.102401,96.8,rep7,Sp#2 (n=2688),6.321341102373276,-25.50095849347867,3,Naive_CD4_T
mSp_rep7_205,0.775045,10513.0,0.100607,271623,0.950727,0.076717,97.63,rep7,Sp#2 (n=2688),-11.005355513977992,15.99072006982285,1,Follicular_B
mSp_rep7_129,0.655507,39891.0,0.031560000000000005,767738,0.940791,0.19545,97.1,rep7,Sp#2 (n=2688),6.565342395821941,19.86081108219824,4,Marginal_Zone_B
mSp_rep7_175,0.783267,14001.0,0.004763,313329,0.950452,0.090449,96.01,rep7,Sp#2 (n=2688),-29.437940857805483,-11.666175305402602,6,Naive_CD8_T
mSp_rep7_277,0.759092,30824.0,0.027726,671291,0.947384,0.166641,96.9,rep7,Sp#2 (n=2688),-4.445713763635533,-0.5394935042658107,1,Follicular_B
mSp_rep7_061,0.714125,35893.0,0.017249,792462,0.948917,0.186893,96.29,rep7,Sp#2 (n=2688),12.688690259139596,6.612435659135312,7,Transitional_B
mSp_rep7_053,0.678958,42601.0,0.0051140000000000005,956873,0.951622,0.205365,97.26,rep7,Sp#2 (n=2688),6.5452252543597575,19.651244164494525,4,Marginal_Zone_B
mSp_rep7_018,0.7697430000000001,19216.0,0.016531,408156,0.947763,0.127059,97.12,rep7,Sp#2 (n=2688),-27.455568925665357,-7.519659270233871,6,Naive_CD8_T
mSp_rep7_342,0.743992,11182.0,0.019295,168832,0.925015,0.083199,96.55,rep7,Sp#2 (n=2688),-26.967465327102783,-12.03675915958029,6,Naive_CD8_T
mSp_rep7_048,0.5465369999999999,65784.0,0.012934,1568469,0.9536,0.25555300000000003,97.03,rep7,Sp#2 (n=2688),22.385088431865622,27.027805776571213,10,Dendritic_cell
mSp_rep7_137,0.726635,20990.0,0.043997,473599,0.948164,0.126444,96.89,rep7,Sp#2 (n=2688),-5.998116930362273,18.66881227925995,1,Follicular_B
mSp_rep7_083,0.745341,28834.0,0.02304,658872,0.950789,0.15966,97.1,rep7,Sp#2 (n=2688),-1.318579976077022,-0.9701296020918329,1,Follicular_B
mSp_rep7_228,0.734375,29976.0,0.004516,676961,0.951616,0.153678,96.83,rep7,Sp#2 (n=2688),-3.412857961964383,-24.78928922413107,9,Regulatory_T
mSp_rep7_221,0.7598659999999999,28015.0,0.023323,670680,0.953181,0.159058,96.98,rep7,Sp#2 (n=2688),-4.058540422026487,6.029456810886981,1,Follicular_B
mSp_rep7_166,0.723945,36296.0,0.017194,831719,0.951049,0.192222,96.88,rep7,Sp#2 (n=2688),2.8678447453236697,13.792238444681507,1,Follicular_B
mSp_rep7_070,0.740086,33942.0,0.022492,833047,0.954092,0.177119,96.98,rep7,Sp#2 (n=2688),0.024350335459592684,7.872353766951022,1,Follicular_B
mSp_rep7_203,0.7260310000000001,34075.0,0.011803,720103,0.947876,0.174826,97.14,rep7,Sp#2 (n=2688),-5.991990051429477,6.246375943830308,1,Follicular_B
mSp_rep7_030,0.735581,32936.0,0.010634,779276,0.953845,0.18109,97.36,rep7,Sp#2 (n=2688),-26.312379904408143,-2.282358691823706,6,Naive_CD8_T
mSp_rep7_025,0.736607,25123.0,0.016905,542807,0.948771,0.147401,97.37,rep7,Sp#2 (n=2688),0.8980651912081846,-27.250431125244006,9,Regulatory_T
mSp_rep7_263,0.737436,31581.0,0.03283,647221,0.944465,0.167461,97.03,rep7,Sp#2 (n=2688),-1.0573469588450524,8.40689904737647,1,Follicular_B
mSp_rep7_019,0.751125,28809.0,0.025175,650259,0.950496,0.16226,97.16,rep7,Sp#2 (n=2688),-5.572271004811134,10.720832239100744,1,Follicular_B
mSp_rep7_087,0.74792,32418.0,0.02634,739076,0.950104,0.17302,97.0,rep7,Sp#2 (n=2688),5.658128064515504,17.53205340721698,1,Follicular_B
mSp_rep7_216,0.768239,15741.0,0.019313,337570,0.947896,0.108242,97.23,rep7,Sp#2 (n=2688),-28.678581906261407,-7.2854881040205965,6,Naive_CD8_T
mSp_rep7_206,0.730874,33327.0,0.013293,689954,0.946983,0.181731,97.33,rep7,Sp#2 (n=2688),6.179698181031193,-17.776625014972012,3,Naive_CD4_T
mSp_rep7_127,0.645849,41543.0,0.009726,1002829,0.954528,0.194925,97.13,rep7,Sp#2 (n=2688),23.271781165019068,27.633325957948514,10,Dendritic_cell
mSp_rep7_138,0.640251,32014.0,0.002337,667005,0.947999,0.138665,97.2,rep7,Sp#2 (n=2688),37.67660261585378,8.45904769304276,0,Granulocyte
mSp_rep7_352,0.6827270000000001,46209.0,0.01267,925944,0.943968,0.216061,95.96,rep7,Sp#2 (n=2688),13.740230617858924,8.34151377004416,7,Transitional_B
mSp_rep7_245,0.6919609999999999,39192.0,0.019121,833748,0.947575,0.205429,97.04,rep7,Sp#2 (n=2688),3.5092311364069158,28.52208535133566,4,Marginal_Zone_B
mSp_rep7_130,0.724165,30665.0,0.012781,652394,0.947924,0.172354,97.05,rep7,Sp#2 (n=2688),-23.296496449862484,-7.789678250861198,6,Naive_CD8_T
mSp_rep7_219,0.748512,12370.0,0.055869,299088,0.950539,0.082225,96.89,rep7,Sp#2 (n=2688),-9.02788804447482,-5.2419143406462325,1,Follicular_B
