study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA392905	SAMN07312069	SRS2332782	SRX2978890	SRR5799423	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d17.24a+.Th#2
PRJNA392905	SAMN07312068	SRS2332783	SRX2978891	SRR5799424	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d1.24a+.Th#1
PRJNA392905	SAMN07312067	SRS2332784	SRX2978892	SRR5799425	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d1.24a+.Th#2
PRJNA392905	SAMN07312066	SRS2332785	SRX2978893	SRR5799426	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g1.1+d1.24a+.Th#1
PRJNA392905	SAMN07312065	SRS2332786	SRX2978894	SRR5799427	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g1.1+d1.24a+.Th#2
PRJNA392905	SAMN07312064	SRS2332787	SRX2978895	SRR5799428	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d17.LN#1
PRJNA392905	SAMN07312062	SRS2332788	SRX2978896	SRR5799429	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d17.LN#2
PRJNA392905	SAMN07312061	SRS2332789	SRX2978897	SRR5799430	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d1.LN#1
PRJNA392905	SAMN07312060	SRS2332790	SRX2978898	SRR5799431	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g2+d1.LN#2
PRJNA392905	SAMN07312059	SRS2332791	SRX2978899	SRR5799432	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g1.1+d1.LN#1
PRJNA392905	SAMN07312058	SRS2332792	SRX2978900	SRR5799433	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.g1.1+d1.LN#2
PRJNA392905	SAMN07312057	SRS2332793	SRX2978901	SRR5799434	10090	Mus musculus	NextSeq 500	PAIRED	T8.TN.P14.Sp#1
PRJNA392905	SAMN07312056	SRS2332794	SRX2978902	SRR5799435	10090	Mus musculus	NextSeq 500	PAIRED	T8.TN.P14.Sp#2
PRJNA392905	SAMN07312055	SRS2332795	SRX2978903	SRR5799436	10090	Mus musculus	NextSeq 500	PAIRED	T8.TE.LCMV.d7.Sp#1
PRJNA392905	SAMN07312054	SRS2332797	SRX2978904	SRR5799437	10090	Mus musculus	NextSeq 500	PAIRED	T8.TE.LCMV.d7.Sp#2
PRJNA392905	SAMN07312053	SRS2332796	SRX2978905	SRR5799438	10090	Mus musculus	NextSeq 500	PAIRED	T8.MP.LCMV.d7.Sp#1
PRJNA392905	SAMN07312052	SRS2332798	SRX2978906	SRR5799439	10090	Mus musculus	NextSeq 500	PAIRED	T8.MP.LCMV.d7.Sp#2
PRJNA392905	SAMN07312051	SRS2332799	SRX2978907	SRR5799440	10090	Mus musculus	NextSeq 500	PAIRED	T8.Tcm.LCMV.d180.Sp#1
PRJNA392905	SAMN07312050	SRS2332800	SRX2978908	SRR5799441	10090	Mus musculus	NextSeq 500	PAIRED	T8.Tcm.LCMV.d180.Sp#2
PRJNA392905	SAMN07312049	SRS2332801	SRX2978909	SRR5799442	10090	Mus musculus	NextSeq 500	PAIRED	T8.Tem.LCMV.d180.Sp#1
PRJNA392905	SAMN07312048	SRS2332802	SRX2978910	SRR5799443	10090	Mus musculus	NextSeq 500	PAIRED	T8.Tem.LCMV.d180.Sp#2
PRJNA392905	SAMN07312047	SRS2332803	SRX2978911	SRR5799444	10090	Mus musculus	NextSeq 500	PAIRED	T8.IEL.LCMV.d7.Gut#1
PRJNA392905	SAMN07312046	SRS2332804	SRX2978912	SRR5799445	10090	Mus musculus	NextSeq 500	PAIRED	T8.IEL.LCMV.d7.Gut#2
PRJNA392905	SAMN07312105	SRS2332806	SRX2978913	SRR5799446	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.Sp#1
PRJNA392905	SAMN07312104	SRS2332805	SRX2978914	SRR5799447	10090	Mus musculus	NextSeq 500	PAIRED	proB.CLP.BM#2
PRJNA392905	SAMN07312103	SRS2332807	SRX2978915	SRR5799448	10090	Mus musculus	NextSeq 500	PAIRED	proB.FrA.BM#1
PRJNA392905	SAMN07312102	SRS2332808	SRX2978916	SRR5799449	10090	Mus musculus	NextSeq 500	PAIRED	proB.FrA.BM#2
PRJNA392905	SAMN07312101	SRS2332809	SRX2978917	SRR5799450	10090	Mus musculus	NextSeq 500	PAIRED	proB.FrBC.BM#1
PRJNA392905	SAMN07312100	SRS2332810	SRX2978918	SRR5799451	10090	Mus musculus	NextSeq 500	PAIRED	proB.FrBC.BM#2
PRJNA392905	SAMN07312099	SRS2332811	SRX2978919	SRR5799452	10090	Mus musculus	NextSeq 500	PAIRED	preB.FrD.BM#1
PRJNA392905	SAMN07312098	SRS2332812	SRX2978920	SRR5799453	10090	Mus musculus	NextSeq 500	PAIRED	preB.FrD.BM#2
PRJNA392905	SAMN07312097	SRS2332813	SRX2978921	SRR5799454	10090	Mus musculus	NextSeq 500	PAIRED	B.FrE.BM#1
PRJNA392905	SAMN07312096	SRS2332814	SRX2978922	SRR5799455	10090	Mus musculus	NextSeq 500	PAIRED	B.FrE.BM#2
PRJNA392905	SAMN07312095	SRS2332815	SRX2978923	SRR5799456	10090	Mus musculus	NextSeq 500	PAIRED	B.T1.Sp#1
PRJNA392905	SAMN07312094	SRS2332817	SRX2978924	SRR5799457	10090	Mus musculus	NextSeq 500	PAIRED	B.Fo.Sp#1
PRJNA392905	SAMN07312093	SRS2332816	SRX2978925	SRR5799458	10090	Mus musculus	NextSeq 500	PAIRED	B.T2.Sp#1
PRJNA392905	SAMN07312092	SRS2332818	SRX2978926	SRR5799459	10090	Mus musculus	NextSeq 500	PAIRED	B.MZ.Sp#1
PRJNA392905	SAMN07312091	SRS2332819	SRX2978927	SRR5799460	10090	Mus musculus	NextSeq 500	PAIRED	B.T3.Sp#1
PRJNA392905	SAMN07312090	SRS2332820	SRX2978928	SRR5799461	10090	Mus musculus	NextSeq 500	PAIRED	B1b.PC#1
PRJNA392905	SAMN07312089	SRS2332821	SRX2978929	SRR5799462	10090	Mus musculus	NextSeq 500	PAIRED	B.GC.CC.Sp#1
PRJNA392905	SAMN07312088	SRS2332823	SRX2978930	SRR5799463	10090	Mus musculus	NextSeq 500	PAIRED	B.GC.CC.Sp#2
PRJNA392905	SAMN07312087	SRS2332822	SRX2978931	SRR5799464	10090	Mus musculus	NextSeq 500	PAIRED	B.GC.CB.Sp#1
PRJNA392905	SAMN07312086	SRS2332824	SRX2978932	SRR5799465	10090	Mus musculus	NextSeq 500	PAIRED	B.GC.CB.Sp#2
PRJNA392905	SAMN07312085	SRS2332825	SRX2978933	SRR5799466	10090	Mus musculus	NextSeq 500	PAIRED	B.mem.Sp#1
PRJNA392905	SAMN07312084	SRS2332826	SRX2978934	SRR5799467	10090	Mus musculus	NextSeq 500	PAIRED	B.mem.Sp#2
PRJNA392905	SAMN07312083	SRS2332827	SRX2978935	SRR5799468	10090	Mus musculus	NextSeq 500	PAIRED	B.PB.Sp#1
PRJNA392905	SAMN07312082	SRS2332828	SRX2978936	SRR5799469	10090	Mus musculus	NextSeq 500	PAIRED	B.PC.Sp#1
PRJNA392905	SAMN07312081	SRS2332829	SRX2978937	SRR5799470	10090	Mus musculus	NextSeq 500	PAIRED	B.PC.BM#1
PRJNA392905	SAMN07312080	SRS2332830	SRX2978938	SRR5799471	10090	Mus musculus	NextSeq 500	PAIRED	B.PC.BM#2
PRJNA392905	SAMN07312079	SRS2332831	SRX2978939	SRR5799472	10090	Mus musculus	NextSeq 500	PAIRED	B.Fo.Sp#3
PRJNA392905	SAMN07312078	SRS2332832	SRX2978940	SRR5799473	10090	Mus musculus	NextSeq 500	PAIRED	B.Sp#1
PRJNA392905	SAMN07312077	SRS2332833	SRX2978941	SRR5799474	10090	Mus musculus	NextSeq 500	PAIRED	B.Sp#2
PRJNA392905	SAMN07312076	SRS2332835	SRX2978942	SRR5799475	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp#1
PRJNA392905	SAMN07311972	SRS2332834	SRX2978943	SRR5799476	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp#2
PRJNA392905	SAMN07311971	SRS2332836	SRX2978944	SRR5799477	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.3hr#1
PRJNA392905	SAMN07311970	SRS2332837	SRX2978945	SRR5799478	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.3hr#2
PRJNA392905	SAMN07311969	SRS2332838	SRX2978946	SRR5799479	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.18hr#1
PRJNA392905	SAMN07311968	SRS2332839	SRX2978947	SRR5799480	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.18hr#2
PRJNA392905	SAMN07311967	SRS2332840	SRX2978948	SRR5799481	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.3d#1
PRJNA392905	SAMN07311966	SRS2332841	SRX2978949	SRR5799482	10090	Mus musculus	NextSeq 500	PAIRED	NKT.Sp.LPS.3d#2
PRJNA392905	SAMN07311965	SRS2332842	SRX2978950	SRR5799483	10090	Mus musculus	NextSeq 500	PAIRED	ILC2.SI#1
PRJNA392905	SAMN07311964	SRS2332843	SRX2978951	SRR5799484	10090	Mus musculus	NextSeq 500	PAIRED	ILC2.SI#2
PRJNA392905	SAMN07311963	SRS2332844	SRX2978952	SRR5799485	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.NKp46-CCR6-.SI#1
PRJNA392905	SAMN07311962	SRS2332845	SRX2978953	SRR5799486	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.NKp46-CCR6-.SI#2
PRJNA392905	SAMN07311961	SRS2332846	SRX2978954	SRR5799487	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.CCR6+.SI#1
PRJNA392905	SAMN07311960	SRS2332847	SRX2978955	SRR5799488	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.CCR6+.SI#2
