cell	uniq_frags
cd4_sorttag_26	24225.000000
cd4_sorttag_270	17474.000000
cd4_sorttag_271	19660.000000
cd4_sorttag_272	27611.000000
cd4_sorttag_273	26373.000000
cd4_sorttag_274	34882.000000
cd4_sorttag_275	30715.000000
cd4_sorttag_276	31936.000000
cd4_sorttag_277	31294.000000
cd4_sorttag_278	7771.000000
cd4_sorttag_279	24612.000000
cd4_sorttag_27	17542.000000
cd4_sorttag_280	36837.000000
cd4_sorttag_281	21314.000000
cd4_sorttag_282	22410.000000
cd4_sorttag_283	22229.000000
cd4_sorttag_284	35614.000000
cd4_sorttag_285	28964.000000
cd4_sorttag_286	34427.000000
cd4_sorttag_287	26981.000000
cd4_sorttag_288	24646.000000
cd4_sorttag_289	29812.000000
cd4_sorttag_28	12859.000000
cd4_sorttag_290	30167.000000
cd4_sorttag_291	20.000000
cd4_sorttag_292	19611.000000
cd4_sorttag_293	25787.000000
cd4_sorttag_294	22537.000000
cd4_sorttag_295	16167.000000
cd4_sorttag_296	22910.000000
cd4_sorttag_297	34896.000000
cd4_sorttag_298	22324.000000
cd4_sorttag_299	14929.000000
cd4_sorttag_29	30260.000000
cd4_sorttag_2	66374.000000
cd4_sorttag_300	18896.000000
cd4_sorttag_301	22085.000000
cd4_sorttag_302	28160.000000
cd4_sorttag_303	19.000000
cd4_sorttag_304	48.000000
cd4_sorttag_305	70.000000
cd4_sorttag_306	38.000000
cd4_sorttag_307	48.000000
cd4_sorttag_308	31956.000000
cd4_sorttag_309	20744.000000
cd4_sorttag_30	28064.000000
cd4_sorttag_310	19028.000000
cd4_sorttag_311	19505.000000
cd4_sorttag_312	17801.000000
cd4_sorttag_313	25172.000000
cd4_sorttag_314	32364.000000
cd4_sorttag_315	20436.000000
cd4_sorttag_316	32029.000000
cd4_sorttag_317	16326.000000
cd4_sorttag_318	39546.000000
cd4_sorttag_319	45277.000000
cd4_sorttag_31	23978.000000
cd4_sorttag_320	19129.000000
cd4_sorttag_321	29471.000000
cd4_sorttag_322	32033.000000
cd4_sorttag_323	29769.000000
cd4_sorttag_324	31675.000000
cd4_sorttag_325	18632.000000
cd4_sorttag_326	24603.000000
cd4_sorttag_327	25987.000000
