cell	mt_content
cd4_sorttag_280	0.007758
cd4_sorttag_281	0.032765
cd4_sorttag_282	0.015378
cd4_sorttag_283	0.014978
cd4_sorttag_284	0.019222
cd4_sorttag_285	0.014629
cd4_sorttag_286	0.012846
cd4_sorttag_287	0.030611
cd4_sorttag_288	0.013805
cd4_sorttag_289	0.004009
cd4_sorttag_28	0.006490
cd4_sorttag_290	0.015951
cd4_sorttag_291	0.000000
cd4_sorttag_292	0.011841
cd4_sorttag_293	0.031656
cd4_sorttag_294	0.027865
cd4_sorttag_295	0.017980
cd4_sorttag_296	0.024650
cd4_sorttag_297	0.011613
cd4_sorttag_298	0.011425
cd4_sorttag_299	0.036092
cd4_sorttag_29	0.005848
cd4_sorttag_2	0.014491
cd4_sorttag_300	0.002639
cd4_sorttag_301	0.027735
cd4_sorttag_302	0.001348
cd4_sorttag_303	0.000000
cd4_sorttag_304	0.020408
cd4_sorttag_305	0.014085
cd4_sorttag_306	0.000000
cd4_sorttag_307	0.000000
cd4_sorttag_308	0.012088
cd4_sorttag_309	0.044716
cd4_sorttag_30	0.007883
cd4_sorttag_310	0.000053
cd4_sorttag_311	0.022208
cd4_sorttag_312	0.013194
cd4_sorttag_313	0.025663
cd4_sorttag_314	0.001943
cd4_sorttag_315	0.016412
cd4_sorttag_316	0.013764
cd4_sorttag_317	0.041451
cd4_sorttag_318	0.016220
cd4_sorttag_319	0.015096
cd4_sorttag_31	0.017577
cd4_sorttag_320	0.020883
cd4_sorttag_321	0.013061
cd4_sorttag_322	0.021475
cd4_sorttag_323	0.006176
cd4_sorttag_324	0.020532
cd4_sorttag_325	0.033560
cd4_sorttag_326	0.007703
cd4_sorttag_327	0.010208
cd4_sorttag_328	0.016624
cd4_sorttag_329	0.021936
cd4_sorttag_32	0.076837
cd4_sorttag_330	0.005358
cd4_sorttag_331	0.027409
cd4_sorttag_332	0.027050
cd4_sorttag_333	0.153694
cd4_sorttag_334	0.043426
cd4_sorttag_335	0.006677
cd4_sorttag_336	0.028967
cd4_sorttag_337	0.010424
cd4_sorttag_338	0.126340
cd4_sorttag_339	0.022618
cd4_sorttag_33	0.000608
cd4_sorttag_340	0.051404
cd4_sorttag_341	0.002403
cd4_sorttag_342	0.007016
cd4_sorttag_343	0.025868
cd4_sorttag_344	0.035498
cd4_sorttag_345	0.005089
cd4_sorttag_346	0.009229
cd4_sorttag_347	0.028613
cd4_sorttag_348	0.060543
cd4_sorttag_349	0.007254
cd4_sorttag_34	0.009647
cd4_sorttag_350	0.009442
cd4_sorttag_351	0.009127
cd4_sorttag_352	0.001139
cd4_sorttag_353	0.020292
cd4_sorttag_354	0.008678
cd4_sorttag_355	0.018182
cd4_sorttag_356	0.034761
cd4_sorttag_357	0.012783
cd4_sorttag_358	0.003318
cd4_sorttag_359	0.017241
cd4_sorttag_35	0.045368
cd4_sorttag_360	0.044482
cd4_sorttag_361	0.029412
cd4_sorttag_362	0.015781
cd4_sorttag_363	0.017049
cd4_sorttag_364	0.013654
cd4_sorttag_365	0.007093
cd4_sorttag_366	0.026131
cd4_sorttag_367	0.005718
cd4_sorttag_368	0.009387
cd4_sorttag_369	0.009515
cd4_sorttag_36	0.018757
cd4_sorttag_370	0.021899
cd4_sorttag_371	0.003672
cd4_sorttag_372	0.018999
cd4_sorttag_373	0.021371
cd4_sorttag_374	0.014835
cd4_sorttag_375	0.030303
cd4_sorttag_376	0.000000
cd4_sorttag_377	0.011979
cd4_sorttag_378	0.002136
cd4_sorttag_379	0.021809
cd4_sorttag_37	0.034654
cd4_sorttag_380	0.040897
cd4_sorttag_381	0.012759
cd4_sorttag_382	0.018109
cd4_sorttag_383	0.015425
cd4_sorttag_384	0.000000
cd4_sorttag_38	0.005474
cd4_sorttag_39	0.077756
cd4_sorttag_3	0.043126
cd4_sorttag_40	0.036754
cd4_sorttag_41	0.031968
cd4_sorttag_42	0.010906
cd4_sorttag_43	0.015333
cd4_sorttag_44	0.016860
cd4_sorttag_45	0.038921
cd4_sorttag_46	0.001275
cd4_sorttag_47	0.069512
cd4_sorttag_48	0.037719
cd4_sorttag_49	0.109212
cd4_sorttag_4	0.004708
cd4_sorttag_50	0.008557
cd4_sorttag_51	0.023992
cd4_sorttag_52	0.031918
cd4_sorttag_53	0.026211
cd4_sorttag_54	0.052271
cd4_sorttag_55	0.012003
cd4_sorttag_56	0.009047
cd4_sorttag_57	0.051273
cd4_sorttag_58	0.014757
cd4_sorttag_59	0.005143
cd4_sorttag_5	0.016921
cd4_sorttag_60	0.061158
cd4_sorttag_61	0.020370
cd4_sorttag_62	0.051556
cd4_sorttag_63	0.009344
cd4_sorttag_64	0.041080
cd4_sorttag_65	0.040297
cd4_sorttag_66	0.039929
cd4_sorttag_67	0.020107
cd4_sorttag_68	0.009445
cd4_sorttag_69	0.012023
cd4_sorttag_6	0.022592
cd4_sorttag_70	0.019217
cd4_sorttag_71	0.126515
cd4_sorttag_72	0.086893
cd4_sorttag_73	0.010635
cd4_sorttag_74	0.001056
cd4_sorttag_75	0.050955
cd4_sorttag_76	0.041915
cd4_sorttag_77	0.020408
cd4_sorttag_78	0.177903
cd4_sorttag_79	0.054987
cd4_sorttag_7	0.032258
cd4_sorttag_80	0.044824
cd4_sorttag_81	0.037886
cd4_sorttag_82	0.016555
cd4_sorttag_83	0.000300
cd4_sorttag_84	0.012027
cd4_sorttag_85	0.008813
cd4_sorttag_86	0.052027
cd4_sorttag_87	0.020746
cd4_sorttag_88	0.010180
cd4_sorttag_89	0.036542
cd4_sorttag_8	0.073127
cd4_sorttag_90	0.048355
cd4_sorttag_91	0.057380
cd4_sorttag_92	0.015153
cd4_sorttag_93	0.161367
cd4_sorttag_94	0.010865
cd4_sorttag_95	0.042263
cd4_sorttag_96	0.018341
cd4_sorttag_97	0.030466
cd4_sorttag_98	0.013055
cd4_sorttag_99	0.046636
cd4_sorttag_9	0.033225
