Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,N1_1_in_5
Number of Events,2121
 
Time,Value
45.25,-0.1454843
45.3,-0.2755887
45.35,-7.889962E-05
45.4,0.2111082
45.45,0.1560172
45.5,3.608704E-02
45.55,-0.1369549
45.6,-0.2587838
45.65,-0.4750968
45.7,-0.3531033
45.75,-0.2315408
45.8,-0.1320229
45.85,-3.642904E-02
45.9,-2.185948E-02
45.95,-9.441639E-02
46,-0.1763212
46.05,-0.1278569
46.1,-0.1042224
46.15,-0.2105527
46.2,-0.2682044
46.25,-0.0479363
46.3,6.084521E-02
46.35,8.753757E-02
46.4,-4.054343E-02
46.45,-5.784449E-02
46.5,-0.1357331
46.55,-0.2417225
46.6,-0.1692505
46.65,-0.1504531
46.7,-9.171941E-02
46.75,-0.3524953
46.8,-0.5166051
46.85,-0.6401252
46.9,-0.5118061
46.95,-0.2758714
47,-5.110513E-02
47.05,0.1218104
47.1,-8.634281E-02
47.15,-0.3086554
47.2,-0.456523
47.25,-0.5477419
47.3,-0.5654181
47.35,-0.4831441
47.4,-0.4573366
47.45,-0.5618678
47.5,-0.5957271
47.55,-0.4369099
47.6,-0.3851011
47.65,-0.4282829
47.7,-0.4313862
47.75,-0.5040954
47.8,-0.6315533
47.85,-0.6085714
47.9,-0.5431383
47.95,-0.6146424
48,-0.6057497
48.05,-0.4894147
48.1,-0.5884165
48.15,-0.5815414
48.2,-0.5100563
48.25,-0.5135745
48.3,-0.4043302
48.35,-0.426578
48.4,-0.4809819
48.45,-0.5384393
48.5,-0.4223125
48.55,-0.3650991
48.6,-0.3556697
48.65,-0.4043095
48.7,-0.545247
48.75,-0.478502
48.8,-0.3849097
48.85,-0.2907704
48.9,-0.3966294
48.95,-0.3508384
49,-0.2354822
49.05,-0.1993205
49.1,2.927611E-02
49.15,0.0635039
49.2,6.086867E-02
49.25,-3.792069E-02
49.3,-4.324677E-02
49.35,-0.1570665
49.4,-0.2062015
49.45,-2.739135E-02
49.5,5.107477E-02
49.55,0.192507
49.6,0.2439044
49.65,0.1911917
49.7,0.4144925
49.75,0.5751604
49.8,0.9329275
49.85,1.078726
49.9,1.322778
49.95,1.635031
50,1.940239
50.05,2.427202
50.1,2.896917
50.15,3.502553
50.2,4.001924
50.25,4.525823
50.3,4.877557
50.35,5.018699
50.4,4.889319
50.45,4.575107
50.5,4.097229
50.55,3.692678
50.6,3.372012
50.65,3.071737
50.7,2.876393
50.75,2.704494
50.8,2.51014
50.85,2.363007
50.9,2.4079
50.95,2.338352
51,2.257528
51.05,2.23496
51.1,2.237428
51.15,2.188078
51.2,2.337764
51.25,2.540273
51.3,2.739779
51.35,2.999239
51.4,3.457503
51.45,4.058018
51.5,4.511922
51.55,4.95342
51.6,5.205637
51.65,5.523192
51.7,6.007639
51.75,6.786978
51.8,7.429849
51.85,7.985661
51.9,8.32905
51.95,9.036946
52,10.07383
52.05,11.59007
52.1,13.55103
52.15,15.78383
52.2,18.29936
52.25,20.5712
52.3,22.50505
52.35,24.18666
52.4,25.4594
52.45,26.0083
52.5,25.63504
52.55,24.69995
52.6,23.52533
52.65,22.74925
52.7,22.3307
52.75,21.7643
52.8,20.8088
52.85,19.43533
52.9,17.95395
52.95,16.00155
53,13.85969
53.05,11.256
53.1,8.96406
53.15,6.751127
53.2,5.022744
53.25,3.886881
53.3,2.993337
53.35,2.613578
53.4,2.201051
53.45,2.025208
53.5,1.684995
53.55,1.531676
53.6,1.464171
53.65,1.406086
53.7,1.497619
53.75,1.464231
53.8,1.378035
53.85,1.12884
53.9,0.9406371
53.95,0.7862054
54,0.7631153
54.05,0.675934
54.1,0.5607795
54.15,0.4615486
54.2,0.3929153
54.25,0.3444036
54.3,0.2847606
54.35,0.2943099
54.4,0.3223356
54.45,0.3498206
54.5,0.3587693
54.55,0.2050487
54.6,4.462545E-02
54.65,-5.549681E-02
54.7,-8.346236E-02
54.75,-0.1419147
54.8,-0.1961951
54.85,-0.1602232
54.9,2.432861E-02
54.95,0.1316256
55,0.1064348
55.05,5.182122E-04
55.1,-5.846478E-02
55.15,-1.691924E-02
55.2,0.1827036
55.25,0.2504334
55.3,0.1889072
55.35,0.1232459
55.4,-9.519669E-03
55.45,-0.1830103
55.5,-0.27007
55.55,-0.184305
55.6,-0.1310389
55.65,-0.1487872
55.7,-0.2579309
55.75,-0.3672346
55.8,-0.3415235
55.85,-0.2256502
55.9,-0.1709513
55.95,-4.368095E-02
56,7.750484E-02
56.05,2.565576E-02
56.1,-0.1971959
56.15,-0.2282695
56.2,-0.1358695
56.25,-4.085252E-02
56.3,0.2175822
56.35,0.3076894
56.4,7.485593E-02
56.45,0.1454536
56.5,0.4044778
56.55,0.3116845
56.6,6.485772E-02
56.65,-5.420019E-02
56.7,4.896061E-02
56.75,0.137173
56.8,0.3542817
56.85,0.4839471
56.9,0.4019043
56.95,0.4845999
57,0.5974758
57.05,0.7485571
57.1,0.9057142
57.15,1.209888
57.2,1.458129
57.25,1.584406
57.3,1.687384
57.35,1.741725
57.4,1.968463
57.45,2.072952
