Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-04-22_14-42-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-04-22
Date Created,22 April 2018 13:42:26
Date Last Modified,22 April 2018 14:22:51
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,rep4
Number of Events,2121
 
Time,Value
32,0.0592804
32.05,0.0592804
32.1,0.0592804
32.15,0.0592804
32.2,0.0592804
32.25,0.0592804
32.3,0.0592804
32.35,0.0592804
32.4,0.0592804
32.45,0.0592804
32.5,0.0592804
32.55,0.0592804
32.6,0.0592804
32.65,0.0592804
32.7,0.0592804
32.75,0.0592804
32.8,0.0592804
32.85,0.0592804
32.9,0.0592804
32.95,0.0592804
33,0.0592804
33.05,0.0592804
33.1,-4.489982E-02
33.15,-3.167753E-02
33.2,8.260529E-03
33.25,-1.856904E-02
33.3,-2.809779E-02
33.35,-0.1370962
33.4,-0.1306768
33.45,-0.1071086
33.5,-7.813671E-02
33.55,3.496177E-02
33.6,0.1482277
33.65,0.1365811
33.7,0.1103586
33.75,4.869781E-03
33.8,1.177458E-02
33.85,-7.411762E-02
33.9,-5.726901E-02
33.95,2.905026E-02
34,9.165067E-02
34.05,0.1087794
34.1,0.101007
34.15,2.179264E-02
34.2,-9.309325E-02
34.25,-0.2160754
34.3,-0.2246109
34.35,-0.3149015
34.4,-0.2994628
34.45,-0.213064
34.5,-0.1441314
34.55,-0.1205256
34.6,-0.1381633
34.65,-0.161749
34.7,-0.2364671
34.75,-0.2866528
34.8,-0.1746165
34.85,-2.694671E-02
34.9,2.532975E-02
34.95,1.597929E-02
35,-3.181147E-02
35.05,-8.518723E-02
35.1,-0.1643688
35.15,-0.2255821
35.2,-0.2478096
35.25,-0.3187792
35.3,-0.37308
35.35,-0.3255287
35.4,-0.1947584
35.45,-8.248495E-02
35.5,-9.062488E-02
35.55,-0.1000553
35.6,-4.286199E-02
35.65,-5.438094E-02
35.7,-0.1262242
35.75,-0.2326587
35.8,-0.3407592
35.85,-0.4025926
35.9,-0.4421439
35.95,-0.3618224
36,-0.2340422
36.05,-0.1663767
36.1,-0.1561637
36.15,-0.1489502
36.2,-0.1592379
36.25,-0.2152751
36.3,-0.2943803
36.35,-0.2754772
36.4,-0.2287125
36.45,-0.233829
