Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,N3
Number of Events,2121
 
Time,Value
32,3.231812E-02
32.05,3.231812E-02
32.1,3.231812E-02
32.15,3.231812E-02
32.2,-6.701268E-02
32.25,-4.299802E-02
32.3,-3.792498E-02
32.35,-1.268476E-02
32.4,0.102349
32.45,0.1929266
32.5,0.250817
32.55,0.1131687
32.6,3.871328E-02
32.65,-0.1881401
32.7,-0.3040506
32.75,-0.2094438
32.8,-0.1314429
32.85,-3.297847E-02
32.9,7.678592E-02
32.95,0.1574383
33,9.449643E-02
33.05,6.888946E-02
33.1,3.395993E-02
33.15,-7.112035E-02
33.2,-0.1078529
33.25,-6.110993E-02
33.3,4.744682E-02
33.35,-1.270436E-02
33.4,0.0221686
33.45,6.235781E-02
33.5,-3.518889E-02
33.55,-0.1121286
33.6,-6.761285E-02
33.65,-8.045568E-02
33.7,-0.1231341
33.75,-1.214388E-03
33.8,-4.072246E-02
33.85,-0.1680892
33.9,-0.2477471
33.95,-0.2400067
34,-0.231201
34.05,-0.1138143
34.1,-6.931631E-02
34.15,-9.080298E-02
34.2,-0.1957908
34.25,-0.2971757
34.3,-0.3349467
34.35,-0.3355921
34.4,-0.3399088
34.45,-0.4338946
34.5,-0.4140039
34.55,-0.4483445
34.6,-0.397316
34.65,-0.298011
34.7,-0.2042865
34.75,-0.1889538
34.8,-0.2150522
34.85,-0.2697394
34.9,-0.3868096
34.95,-0.4020931
35,-0.3499441
35.05,-0.2745878
35.1,-0.2837197
35.15,-0.2916666
35.2,-0.2984239
35.25,-0.248485
35.3,-0.2156237
35.35,-0.2081056
35.4,-0.1971097
35.45,-0.2091436
35.5,-0.2357379
35.55,-0.2220639
35.6,-0.1908194
35.65,-0.2040894
35.7,-0.2719907
35.75,-0.3110313
35.8,-0.3139943
35.85,-0.3478017
35.9,-0.2962118
35.95,-0.3027364
36,-0.3580094
36.05,-0.3871203
36.1,-0.3820978
36.15,-0.3912193
36.2,-0.4691862
36.25,-0.4934964
36.3,-0.5524465
36.35,-0.6520199
36.4,-0.6775964
36.45,-0.5148874
36.5,-0.3338355
36.55,-0.2507772
36.6,-0.2954859
36.65,-0.3577269
36.7,-0.3311507
36.75,-0.2445125
36.8,-0.1765971
36.85,-0.2686886
36.9,-0.3764849
36.95,-0.5094328
37,-0.5964379
37.05,-0.5794913
37.1,-0.51485
37.15,-0.5690425
37.2,-0.6365973
37.25,-0.648512
37.3,-0.7795228
37.35,-1.000966
37.4,-1.003146
37.45,-0.9092638
37.5,-0.8916577
37.55,-0.7317728
37.6,-0.5767902
37.65,-0.5454746
37.7,-0.5176162
37.75,-0.5193239
37.8,-0.4659206
37.85,-0.4839904
37.9,-0.5013188
37.95,-0.5653356
38,-0.6363488
38.05,-0.6968564
