Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-04-22_14-42-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-04-22
Date Created,22 April 2018 13:42:26
Date Last Modified,22 April 2018 14:22:51
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,rep5
Number of Events,2121
 
Time,Value
32,0.176178
32.05,0.176178
32.1,0.176178
32.15,0.176178
32.2,0.176178
32.25,0.176178
32.3,0.176178
32.35,0.176178
32.4,0.176178
32.45,0.176178
32.5,0.176178
32.55,0.176178
32.6,0.176178
32.65,0.176178
32.7,0.176178
32.75,0.176178
32.8,0.176178
32.85,0.176178
32.9,0.176178
32.95,0.176178
33,0.176178
33.05,0.176178
33.1,0.176178
33.15,6.225339E-02
33.2,-0.122859
33.25,-0.2319042
33.3,-0.1967479
33.35,-0.194087
33.4,-0.0512111
33.45,5.230678E-02
33.5,0.1147369
33.55,6.309693E-02
33.6,1.489807E-02
33.65,8.055665E-02
33.7,3.105554E-02
33.75,-6.476756E-02
33.8,-5.452003E-02
33.85,-2.325334E-02
33.9,6.868254E-02
33.95,0.16164
34,0.1629192
34.05,0.1073509
34.1,1.938805E-02
34.15,-2.509318E-02
34.2,-1.091157E-02
34.25,-1.712936E-02
34.3,-3.587065E-02
34.35,-7.388753E-02
34.4,-0.1032812
34.45,-4.875723E-02
34.5,3.482208E-03
34.55,-4.381191E-03
34.6,-4.992874E-02
34.65,-8.169208E-02
34.7,-6.073656E-02
34.75,-2.051234E-02
34.8,2.227129E-03
34.85,3.015263E-02
34.9,-2.167693E-02
34.95,-5.357733E-02
35,-0.1160332
35.05,-0.1196177
35.1,-0.129314
35.15,-9.191371E-02
35.2,-6.092671E-02
35.25,-0.0257232
35.3,-2.503174E-02
35.35,1.491988E-03
35.4,-4.105209E-02
35.45,-1.519065E-02
35.5,-4.950387E-02
35.55,-0.107057
35.6,-0.1259144
35.65,-0.1047858
35.7,-9.504001E-02
35.75,-8.893558E-02
35.8,-0.182753
35.85,-0.2154565
35.9,-0.2211949
35.95,-0.2325342
36,-0.2152216
36.05,-0.2383448
36.1,-0.3143571
36.15,-0.30828
36.2,-0.245222
36.25,-0.1462165
36.3,-6.140426E-02
36.35,-7.639928E-02
36.4,-0.1475872
36.45,-0.2354069
