Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
45.55,41.24439
45.6,21.40814
45.65,10.28883
45.7,5.112497
45.75,3.418342
45.8,2.645104
45.85,2.288754
45.9,1.964964
45.95,1.705654
46,1.544789
46.05,1.41585
46.1,1.283851
46.15,1.080546
46.2,0.8262256
46.25,0.7032544
46.3,0.6251442
46.35,0.5592028
46.4,0.4877033
46.45,0.3793445
46.5,0.3987228
46.55,0.4686583
46.6,0.5256915
46.65,0.3894489
46.7,0.2614465
46.75,6.237613E-02
46.8,-4.572337E-02
46.85,8.848513E-03
46.9,0.1123011
46.95,0.2013856
47,0.226832
47.05,0.1085877
47.1,-5.944841E-03
47.15,-0.1583768
47.2,-9.333892E-02
47.25,-2.493256E-02
47.3,4.810469E-02
47.35,0.1144671
47.4,-1.173416E-02
47.45,-7.999764E-02
47.5,-6.930794E-02
47.55,1.504798E-02
47.6,1.366649E-02
47.65,-7.190628E-02
47.7,-0.2021982
47.75,-0.2999894
47.8,-0.1912615
47.85,2.268586E-02
47.9,0.2336214
47.95,0.1832318
48,6.584696E-02
48.05,6.244048E-02
48.1,8.025012E-02
48.15,-1.307399E-02
48.2,3.554428E-02
48.25,7.782829E-02
48.3,3.628692E-02
48.35,0.1129131
48.4,8.139284E-02
48.45,3.452652E-02
48.5,-8.089238E-02
48.55,6.644129E-02
48.6,7.534212E-02
48.65,7.788382E-02
48.7,4.853788E-02
48.75,6.574677E-02
48.8,3.232199E-02
48.85,3.644891E-02
48.9,5.439557E-02
48.95,0.1761084
49,0.2923608
49.05,0.1813979
49.1,0.1873132
49.15,4.812929E-02
49.2,0.1703992
49.25,0.1327733
49.3,0.1363331
49.35,2.049297E-02
49.4,6.323097E-02
49.45,0.1982496
49.5,0.2377513
49.55,0.2619909
49.6,0.2812435
49.65,0.5070854
49.7,0.6703387
49.75,0.5826836
49.8,0.3352799
49.85,0.4996502
49.9,0.5237911
49.95,0.5335629
50,0.5576439
50.05,0.6437622
50.1,0.5996457
50.15,0.6768982
50.2,0.6110134
50.25,0.3485354
50.3,0.4478045
50.35,0.7065694
50.4,0.7193326
50.45,0.5716199
50.5,0.4872886
50.55,0.6457952
50.6,1.340715
50.65,3.994826
50.7,10.95259
50.75,26.03257
50.8,52.24256
50.85,91.40488
50.9,136.1463
50.95,175.4292
51,197.2198
51.05,193.5287
51.1,165.1988
51.15,121.506
51.2,77.44263
51.25,43.23695
51.3,22.41918
51.35,12.1637
51.4,8.054707
51.45,6.616138
51.5,5.842553
51.55,5.090741
51.6,4.48281
51.65,4.139221
51.7,3.836103
51.75,3.501185
51.8,3.251755
51.85,2.756363
51.9,2.273518
51.95,1.903283
52,1.735813
52.05,1.499547
52.1,1.284402
52.15,1.095868
52.2,0.9665154
52.25,1.020715
52.3,1.132878
52.35,1.312266
52.4,1.24479
52.45,1.033634
52.5,1.050819
52.55,1.265176
52.6,1.382692
52.65,1.281486
52.7,1.146754
52.75,0.9795639
52.8,0.9279345
52.85,0.9877323
52.9,0.9491013
52.95,0.9137214
53,0.8660614
