Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,N4
Number of Events,2121
 
Time,Value
32,0.4826965
32.05,0.4826965
32.1,0.4826965
32.15,0.4826965
32.2,0.4826965
32.25,0.4826965
32.3,0.4826965
32.35,0.5442758
32.4,0.4599499
32.45,0.3111947
32.5,-2.570069E-02
32.55,-8.896235E-02
32.6,5.089374E-02
32.65,0.0604954
32.7,3.909258E-03
32.75,5.189163E-02
32.8,2.773541E-02
32.85,-0.1028702
32.9,-0.1698434
32.95,-6.836586E-02
33,9.684674E-02
33.05,1.601746E-02
33.1,-0.2817922
33.15,-0.4354687
33.2,-0.390625
33.25,-0.1319529
33.3,5.235201E-02
33.35,0.1267295
33.4,8.367278E-02
33.45,-9.972223E-02
33.5,-0.1895248
33.55,-0.323265
33.6,-0.4072604
33.65,-0.4728778
33.7,-0.3631814
33.75,-0.4336036
33.8,-0.5179021
33.85,-0.4458867
33.9,-0.2261323
33.95,-0.1060955
34,-0.1235659
34.05,-0.2137896
34.1,-0.3376346
34.15,-0.4556031
34.2,-0.6193811
34.25,-0.6299208
34.3,-0.604769
34.35,-0.5216926
34.4,-0.3519791
34.45,-0.1923625
34.5,-0.2087938
34.55,-0.1896697
34.6,-1.618413E-02
34.65,-9.999239E-02
34.7,-0.4828998
34.75,-0.5432904
34.8,-0.3748647
34.85,-0.2785012
34.9,-0.2684346
34.95,-0.3768745
35,-0.4798895
35.05,-0.5064661
35.1,-0.3757887
35.15,-0.2612182
35.2,-0.2700175
35.25,-0.2431483
35.3,-0.1737562
35.35,-0.1333161
35.4,-0.2870526
35.45,-0.3811882
35.5,-0.3536526
35.55,-0.3294565
35.6,-0.5564786
35.65,-0.6002941
35.7,-0.5391064
35.75,-0.3830336
35.8,-0.2887762
35.85,-0.3332431
35.9,-0.3959706
35.95,-0.4050546
36,-0.2748643
36.05,-0.3420185
36.1,-0.345642
36.15,-0.4043482
36.2,-0.3338355
36.25,-0.2856816
36.3,-0.2542911
36.35,-0.3712296
36.4,-0.4847766
36.45,-0.3243261
36.5,-0.2426844
36.55,-0.2124595
36.6,-0.2851307
36.65,-0.1591807
36.7,-0.1905048
36.75,-0.3779002
36.8,-0.5718798
36.85,-0.6956344
36.9,-0.7129135
36.95,-0.7811815
37,-0.6244841
37.05,-0.5804618
37.1,-0.463233
37.15,-0.3306272
37.2,-0.4069457
37.25,-0.7350906
37.3,-0.9913351
37.35,-0.8520829
37.4,-0.7340611
37.45,-0.6198009
37.5,-0.6552624
37.55,-0.5991477
37.6,-0.5423641
37.65,-0.5613807
37.7,-0.6512124
37.75,-0.702711
37.8,-0.59163
37.85,-0.5841371
37.9,-0.4412075
37.95,-0.5261269
38,-0.5234419
38.05,-0.4937958
38.1,-0.3197938
38.15,-0.3272857
