cell	sequencing_depth
SRR1779905	261802
SRR1779906	161648
SRR1779907	170377
SRR1779908	325623
SRR1779909	290507
SRR1779910	514734
SRR1779911	22910
SRR1779912	305832
SRR1779913	330764
SRR1779914	333754
SRR1779915	299302
SRR1779916	732157
SRR1779917	137118
SRR1779918	147216
SRR1779919	146319
SRR1779920	184054
SRR1779921	417934
SRR1779922	306854
SRR1779923	167949
SRR1779924	256160
SRR1779925	210606
SRR1779926	223222
SRR1779927	87166
SRR1779928	239723
SRR1779929	236063
SRR1779930	137507
SRR1779931	271040
SRR1779932	63179
SRR1779933	169629
SRR1779934	305729
SRR1779935	152607
SRR1779936	315608
SRR1779937	66805
SRR1779938	128226
SRR1779939	84775
SRR1779940	311826
SRR1779941	348078
SRR1779942	210506
SRR1779943	23085
SRR1779944	202572
SRR1779945	289508
SRR1779946	135313
SRR1779947	531142
SRR1779948	21745
SRR1779949	194181
SRR1779950	313545
SRR1779951	182444
SRR1779952	31683
SRR1779953	119498
SRR1779954	235244
SRR1779955	109887
SRR1779956	266063
SRR1779957	300764
SRR1779958	35863
SRR1779959	173140
SRR1779960	258817
SRR1779961	309925
SRR1779962	227446
SRR1779963	190104
SRR1779964	150646
SRR1779965	305828
SRR1779966	236966
SRR1779967	18569
SRR1779968	1627847
SRR1779969	526627
SRR1779970	507586
SRR1779971	342090
SRR1779972	6721
SRR1779973	283552
SRR1779974	74232
SRR1779975	515788
SRR1779976	47331
SRR1779977	205663
SRR1779978	272385
SRR1779979	450001
SRR1779980	40454
SRR1779981	26960
SRR1779982	118888
SRR1779983	253914
SRR1779984	113048
SRR1779985	337710
SRR1779986	23562
SRR1779987	37265
SRR1779988	29409
SRR1779989	42904
SRR1779990	235097
SRR1779991	86264
SRR1779992	27598
SRR1779993	24491
SRR1779994	32859
SRR1779995	387208
SRR1779996	113354
SRR1779997	275112
SRR1779998	313079
SRR1779999	140256
SRR1780000	91986
SRR1780001	131825
SRR1780002	266205
SRR1780003	66544
SRR1780004	107338
SRR1780005	139573
SRR1780006	31406
SRR1780007	304995
SRR1780008	53684
SRR1780009	395312
SRR1780010	255080
SRR1780011	226770
SRR1780012	388315
SRR1780013	40908
SRR1780014	293231
SRR1780015	22711
SRR1780016	34022
SRR1780017	333711
SRR1780018	35853
SRR1780019	305267
SRR1780020	125335
SRR1780021	30374
SRR1780022	27767
SRR1780023	39878
SRR1780024	131910
SRR1780025	270110
SRR1780026	307510
SRR1780027	154687
SRR1780028	159595
SRR1780029	39313
SRR1780030	24185
SRR1780031	480427
SRR1780032	119815
SRR1780033	294407
SRR1780034	128753
SRR1780035	99578
SRR1780036	79557
SRR1780037	269167
SRR1780038	623507
SRR1780039	570963
SRR1780040	408992
SRR1780041	393067
SRR1780042	298652
SRR1780043	38884
SRR1780044	25507
SRR1780045	239185
SRR1780046	361188
SRR1780047	140178
SRR1780048	46058
SRR1780049	68972
SRR1780050	739535
SRR1780051	573860
SRR1780052	425457
SRR1780053	567435
SRR1780054	150271
SRR1780055	395711
SRR1780056	58850
SRR1780057	313437
SRR1780058	277612
SRR1780059	71909
SRR1780060	283709
SRR1780061	20557
SRR1780062	279968
SRR1780063	57348
SRR1780064	267
SRR1780065	487383
SRR1780066	54580
SRR1780067	213956
SRR1780068	90114
SRR1780069	119643
SRR1780070	51908
SRR1780071	128655
SRR1780072	161339
SRR1780073	81251
SRR1780074	171836
SRR1780075	76929
SRR1780076	129140
SRR1780077	77415
SRR1780078	65697
SRR1780079	431310
SRR1780080	199788
SRR1780081	169159
SRR1780082	39023
SRR1780083	360870
SRR1780084	39583
SRR1780085	60501
SRR1780086	132491
SRR1780087	49611
SRR1780088	166322
SRR1780089	113201
SRR1780090	106380
SRR1780091	16820
SRR1780092	23250
SRR1780093	85627
SRR1780094	166620
SRR1780095	38804
SRR1780096	138514
SRR1780097	23871
SRR1780098	184437
SRR1780099	894440
SRR1780100	285213
SRR1780101	250348
SRR1780102	76446
SRR1780103	183687
SRR1780104	93522
SRR1780105	176475
SRR1780106	141766
SRR1780107	79330
SRR1780108	40234
SRR1780109	72857
SRR1780110	240104
SRR1780111	131388
SRR1780112	35454
SRR1780113	211497
SRR1780114	64029
SRR1780115	30906
SRR1780116	34416
SRR1780117	71955
SRR1780118	122562
SRR1780119	210442
SRR1780120	144771
SRR1780121	57048
SRR1780122	211506
SRR1780123	37914
SRR1780124	56030
SRR1780125	23808
SRR1780126	99406
SRR1780127	31338
SRR1780128	13200
SRR1780129	22210
SRR1780130	71325
SRR1780131	54927
SRR1780132	170593
SRR1780133	148882
SRR1780134	191014
SRR1780135	45076
SRR1780136	21659
SRR1780137	26861
SRR1780138	55866
SRR1780139	227759
SRR1780140	101225
SRR1780141	168535
SRR1780142	237587
SRR1780143	76657
SRR1780144	121184
SRR1780145	101212
SRR1780146	199992
SRR1780147	64269
SRR1780148	164076
SRR1780149	124203
SRR1780150	73154
SRR1780151	113856
SRR1780152	46296
SRR1780153	71908
SRR1780154	78363
SRR1780155	82708
SRR1780156	150830
SRR1780157	290462
SRR1780158	42452
SRR1780159	49976
SRR1780160	46256
SRR1780161	47767
SRR1780162	104569
SRR1779587	279869
SRR1779588	59390
SRR1779589	622183
SRR1779590	209130
SRR1779591	155975
SRR1779592	343545
SRR1779593	469963
SRR1779594	288099
SRR1779595	88568
SRR1779596	206352
SRR1779597	40132
SRR1779598	174251
SRR1779599	467647
SRR1779600	512746
SRR1779601	190432
SRR1779602	536562
SRR1779603	363016
SRR1779604	310292
SRR1779605	188033
SRR1779606	236042
SRR1779607	482459
SRR1779608	343937
SRR1779609	359873
SRR1779610	385292
SRR1779611	503215
SRR1779612	462419
SRR1779613	374108
SRR1779614	510859
SRR1779615	516244
SRR1779616	350720
SRR1779617	585676
SRR1779618	371380
SRR1779619	265381
SRR1779620	469036
SRR1779621	329818
SRR1779622	262193
SRR1779623	987079
SRR1779624	386072
SRR1779625	531189
SRR1779626	508670
SRR1779627	438136
SRR1779628	397022
SRR1779629	536533
SRR1779630	275691
SRR1779631	396058
SRR1779632	179019
SRR1779633	429032
SRR1779634	460904
SRR1779635	757614
SRR1779636	225760
SRR1779637	400206
SRR1779638	478398
SRR1779639	421085
SRR1779640	177809
SRR1779641	87817
SRR1779642	439488
SRR1779643	222843
SRR1779644	225222
SRR1779645	145736
SRR1779646	398570
SRR1779647	625016
SRR1779648	211276
SRR1779649	336063
SRR1779650	522667
SRR1779651	510467
SRR1779652	378006
SRR1779653	223630
SRR1779654	552241
SRR1779655	344976
SRR1779656	180759
SRR1779657	326289
SRR1779658	959611
SRR1779659	1354
SRR1779660	134719
SRR1779661	445495
SRR1779662	316918
SRR1779663	672995
SRR1779664	431284
SRR1779665	491216
SRR1779666	306820
SRR1779667	307504
SRR1779668	297225
SRR1779669	260489
SRR1779670	596707
SRR1779671	201639
SRR1779672	122225
SRR1779673	422759
SRR1779674	396728
SRR1779675	356373
SRR1779676	835303
SRR1779677	449069
SRR1779678	335438
SRR1779679	474673
SRR1779680	319451
SRR1779681	529056
SRR1779682	445897
SRR1781123	318691
SRR1781124	229766
SRR1781125	152585
SRR1781126	552025
SRR1781127	105247
SRR1781128	194323
SRR1781129	533869
SRR1781130	34232
SRR1781131	262190
SRR1781132	183800
SRR1781133	215395
SRR1781134	105756
SRR1781135	236689
SRR1781136	74050
SRR1781137	87638
SRR1781138	123777
SRR1781139	40807
SRR1781140	103755
SRR1781141	47980
SRR1781142	35956
SRR1781143	68120
SRR1781144	57440
SRR1781145	55939
SRR1781146	55047
SRR1781147	65648
SRR1781148	138579
SRR1781149	102198
SRR1781150	144395
SRR1781151	84432
SRR1781152	720178
SRR1781153	223565
SRR1781154	91386
SRR1781155	214936
SRR1781156	192426
SRR1781157	254486
SRR1781158	187085
SRR1781159	145769
SRR1781160	152907
SRR1781161	215058
SRR1781162	151613
SRR1781163	247650
SRR1781164	728646
SRR1781165	72695
SRR1781166	112238
SRR1781167	222503
SRR1781168	218828
SRR1781169	244185
SRR1781170	226552
SRR1781171	165500
SRR1781172	286843
SRR1781173	9985
SRR1781174	449081
SRR1781175	141529
SRR1781176	104319
SRR1781177	170007
SRR1781178	256285
SRR1781179	76004
SRR1781180	174941
SRR1781181	1007628
