cell	mapping_rate
mouse_skin_fibr_188	97.61
mouse_skin_fibr_189	96.77
mouse_skin_fibr_190	97.25
mouse_skin_fibr_191	97.43
mouse_skin_fibr_192	96.88
mouse_skin_fibr_193	97.23
mouse_skin_fibr_194	97.25
mouse_skin_fibr_195	96.24
mouse_skin_fibr_196	96.86
mouse_skin_fibr_197	97.03
mouse_skin_fibr_198	92.83
mouse_skin_fibr_199	97.06
mouse_skin_fibr_200	97.47
mouse_skin_fibr_201	97.34
mouse_skin_fibr_202	97.48
mouse_skin_fibr_203	96.75
mouse_skin_fibr_204	96.78
mouse_skin_fibr_205	97.38
mouse_skin_fibr_206	97.01
mouse_skin_fibr_207	97.29
mouse_skin_fibr_208	97.56
mouse_skin_fibr_209	97.24
mouse_skin_fibr_210	97.80
mouse_skin_fibr_211	97.31
mouse_skin_fibr_212	97.16
mouse_skin_fibr_213	97.61
mouse_skin_fibr_214	97.36
mouse_skin_fibr_215	97.67
mouse_skin_fibr_216	97.86
mouse_skin_fibr_217	97.62
mouse_skin_fibr_218	97.23
mouse_skin_fibr_219	96.85
mouse_skin_fibr_220	96.87
mouse_skin_fibr_221	97.40
mouse_skin_fibr_222	97.30
mouse_skin_fibr_223	97.06
mouse_skin_fibr_224	97.03
mouse_skin_fibr_225	96.80
mouse_skin_fibr_226	97.46
mouse_skin_fibr_227	96.78
mouse_skin_fibr_228	96.89
mouse_skin_fibr_229	97.36
mouse_skin_fibr_230	90.60
mouse_skin_fibr_231	97.16
mouse_skin_fibr_232	97.43
mouse_skin_fibr_233	96.70
mouse_skin_fibr_234	97.40
mouse_skin_fibr_235	96.68
mouse_skin_fibr_236	96.92
mouse_skin_fibr_237	97.36
mouse_skin_fibr_238	97.24
mouse_skin_fibr_239	97.30
mouse_skin_fibr_240	74.76
mouse_skin_fibr_241	96.60
mouse_skin_fibr_242	97.73
mouse_skin_fibr_243	97.59
mouse_skin_fibr_244	97.39
mouse_skin_fibr_245	95.94
mouse_skin_fibr_246	96.60
mouse_skin_fibr_247	97.04
mouse_skin_fibr_248	96.82
mouse_skin_fibr_249	97.65
mouse_skin_fibr_250	97.01
mouse_skin_fibr_251	96.82
mouse_skin_fibr_252	97.30
mouse_skin_fibr_253	97.10
mouse_skin_fibr_254	96.96
mouse_skin_fibr_255	96.98
mouse_skin_fibr_256	96.34
mouse_skin_fibr_257	97.20
mouse_skin_fibr_258	97.02
mouse_skin_fibr_259	97.17
mouse_skin_fibr_260	97.22
mouse_skin_fibr_261	97.12
mouse_skin_fibr_262	97.24
mouse_skin_fibr_263	96.08
mouse_skin_fibr_264	97.05
mouse_skin_fibr_265	97.62
mouse_skin_fibr_266	97.00
mouse_skin_fibr_267	97.50
mouse_skin_fibr_268	96.61
mouse_skin_fibr_269	97.23
mouse_skin_fibr_270	97.35
mouse_skin_fibr_271	97.47
mouse_skin_fibr_272	96.70
mouse_skin_fibr_273	96.95
mouse_skin_fibr_274	97.65
mouse_skin_fibr_275	97.24
mouse_skin_fibr_276	96.78
mouse_skin_fibr_277	73.02
mouse_skin_fibr_278	96.06
mouse_skin_fibr_279	97.43
mouse_skin_fibr_280	96.97
mouse_skin_fibr_281	96.58
mouse_skin_fibr_282	96.97
mouse_skin_fibr_283	97.32
mouse_skin_fibr_284	95.82
mouse_skin_fibr_285	97.26
mouse_skin_fibr_286	96.75
mouse_skin_fibr_287	97.21
mouse_skin_fibr_288	97.19
mouse_skin_fibr_289	96.99
mouse_skin_fibr_290	96.94
mouse_skin_fibr_291	97.16
mouse_skin_fibr_292	97.24
mouse_skin_fibr_293	97.03
mouse_skin_fibr_294	97.19
mouse_skin_fibr_295	97.32
mouse_skin_fibr_296	97.30
mouse_skin_fibr_297	97.24
mouse_skin_fibr_298	97.27
mouse_skin_fibr_299	96.34
mouse_skin_fibr_300	97.13
mouse_skin_fibr_301	97.29
mouse_skin_fibr_302	97.40
mouse_skin_fibr_303	97.34
mouse_skin_fibr_304	96.69
mouse_skin_fibr_305	98.22
mouse_skin_fibr_306	95.03
mouse_skin_fibr_307	98.19
mouse_skin_fibr_308	97.23
mouse_skin_fibr_309	97.60
mouse_skin_fibr_310	97.20
mouse_skin_fibr_311	96.54
mouse_skin_fibr_312	96.97
mouse_skin_fibr_313	97.11
mouse_skin_fibr_314	97.09
mouse_skin_fibr_315	97.55
mouse_skin_fibr_316	96.82
mouse_skin_fibr_317	97.44
mouse_skin_fibr_318	96.92
mouse_skin_fibr_319	97.10
mouse_skin_fibr_320	96.59
mouse_skin_fibr_321	97.10
mouse_skin_fibr_322	97.50
mouse_skin_fibr_323	96.33
mouse_skin_fibr_324	97.65
mouse_skin_fibr_325	97.28
mouse_skin_fibr_326	96.64
mouse_skin_fibr_327	97.37
mouse_skin_fibr_328	97.50
mouse_skin_fibr_329	97.30
mouse_skin_fibr_330	95.31
mouse_skin_fibr_331	96.48
mouse_skin_fibr_332	97.17
mouse_skin_fibr_333	96.88
mouse_skin_fibr_334	96.99
mouse_skin_fibr_335	97.86
mouse_skin_fibr_336	97.30
mouse_skin_fibr_337	96.47
mouse_skin_fibr_338	96.82
mouse_skin_fibr_339	97.38
mouse_skin_fibr_340	97.67
mouse_skin_fibr_341	96.67
mouse_skin_fibr_342	97.49
mouse_skin_fibr_343	97.09
mouse_skin_fibr_344	97.83
mouse_skin_fibr_345	97.10
mouse_skin_fibr_346	97.35
mouse_skin_fibr_347	97.25
mouse_skin_fibr_348	96.98
mouse_skin_fibr_349	96.97
mouse_skin_fibr_350	97.31
mouse_skin_fibr_351	97.64
mouse_skin_fibr_352	97.81
mouse_skin_fibr_353	97.28
mouse_skin_fibr_354	97.69
mouse_skin_fibr_355	97.55
mouse_skin_fibr_356	97.40
mouse_skin_fibr_357	97.27
mouse_skin_fibr_358	97.14
mouse_skin_fibr_359	96.87
mouse_skin_fibr_360	97.19
mouse_skin_fibr_361	97.21
mouse_skin_fibr_362	96.95
mouse_skin_fibr_363	97.21
mouse_skin_fibr_364	97.30
mouse_skin_fibr_365	97.92
mouse_skin_fibr_366	97.32
mouse_skin_fibr_367	97.85
mouse_skin_fibr_368	96.87
mouse_skin_fibr_369	97.14
mouse_skin_fibr_370	97.42
mouse_skin_fibr_371	96.63
mouse_skin_fibr_372	97.18
mouse_skin_fibr_373	97.81
mouse_skin_fibr_374	97.78
mouse_skin_fibr_375	96.84
mouse_skin_fibr_376	97.02
mouse_skin_fibr_377	97.38
mouse_skin_fibr_378	97.71
mouse_skin_fibr_379	97.32
mouse_skin_fibr_380	97.24
mouse_skin_fibr_381	97.05
mouse_skin_fibr_382	97.21
mouse_skin_fibr_383	97.12
mouse_skin_fibr_384	75.00
