cell	mt_content
mouse_skin_fibr_178	0.022968
mouse_skin_fibr_179	0.032488
mouse_skin_fibr_180	0.022379
mouse_skin_fibr_181	0.012668
mouse_skin_fibr_182	0.209614
mouse_skin_fibr_183	0.025828
mouse_skin_fibr_184	0.006525
mouse_skin_fibr_185	0.039342
mouse_skin_fibr_186	0.034751
mouse_skin_fibr_187	0.020920
mouse_skin_fibr_188	0.023736
mouse_skin_fibr_189	0.016791
mouse_skin_fibr_190	0.095233
mouse_skin_fibr_191	0.030642
mouse_skin_fibr_192	0.019229
mouse_skin_fibr_193	0.036724
mouse_skin_fibr_194	0.041397
mouse_skin_fibr_195	0.025722
mouse_skin_fibr_196	0.054477
mouse_skin_fibr_197	0.071503
mouse_skin_fibr_198	0.030273
mouse_skin_fibr_199	0.028626
mouse_skin_fibr_200	0.046680
mouse_skin_fibr_201	0.017711
mouse_skin_fibr_202	0.052992
mouse_skin_fibr_203	0.025877
mouse_skin_fibr_204	0.011724
mouse_skin_fibr_205	0.039827
mouse_skin_fibr_206	0.032094
mouse_skin_fibr_207	0.012634
mouse_skin_fibr_208	0.097075
mouse_skin_fibr_209	0.018737
mouse_skin_fibr_210	0.152708
mouse_skin_fibr_211	0.008603
mouse_skin_fibr_212	0.016570
mouse_skin_fibr_213	0.039100
mouse_skin_fibr_214	0.030818
mouse_skin_fibr_215	0.029784
mouse_skin_fibr_216	0.113535
mouse_skin_fibr_217	0.129050
mouse_skin_fibr_218	0.023113
mouse_skin_fibr_219	0.221387
mouse_skin_fibr_220	0.008355
mouse_skin_fibr_221	0.111781
mouse_skin_fibr_222	0.036458
mouse_skin_fibr_223	0.007647
mouse_skin_fibr_224	0.028437
mouse_skin_fibr_225	0.031073
mouse_skin_fibr_226	0.024084
mouse_skin_fibr_227	0.078773
mouse_skin_fibr_228	0.035532
mouse_skin_fibr_229	0.015221
mouse_skin_fibr_230	0.019731
mouse_skin_fibr_231	0.049665
mouse_skin_fibr_232	0.020276
mouse_skin_fibr_233	0.011608
mouse_skin_fibr_234	0.040499
mouse_skin_fibr_235	0.010034
mouse_skin_fibr_236	0.023864
mouse_skin_fibr_237	0.087222
mouse_skin_fibr_238	0.094166
mouse_skin_fibr_239	0.030678
mouse_skin_fibr_240	0.025806
mouse_skin_fibr_241	0.010970
mouse_skin_fibr_242	0.133211
mouse_skin_fibr_243	0.024143
mouse_skin_fibr_244	0.039543
mouse_skin_fibr_245	0.059233
mouse_skin_fibr_246	0.034119
mouse_skin_fibr_247	0.019270
mouse_skin_fibr_248	0.029238
mouse_skin_fibr_249	0.052227
mouse_skin_fibr_250	0.018996
mouse_skin_fibr_251	0.017866
mouse_skin_fibr_252	0.007697
mouse_skin_fibr_253	0.013859
mouse_skin_fibr_254	0.028369
mouse_skin_fibr_255	0.011590
mouse_skin_fibr_256	0.057572
mouse_skin_fibr_257	0.015757
mouse_skin_fibr_258	0.011109
mouse_skin_fibr_259	0.056342
mouse_skin_fibr_260	0.044733
mouse_skin_fibr_261	0.031934
mouse_skin_fibr_262	0.030072
mouse_skin_fibr_263	0.047473
mouse_skin_fibr_264	0.022925
mouse_skin_fibr_265	0.119450
mouse_skin_fibr_266	0.066984
mouse_skin_fibr_267	0.054841
mouse_skin_fibr_268	0.045668
mouse_skin_fibr_269	0.010525
mouse_skin_fibr_270	0.125412
mouse_skin_fibr_271	0.096970
mouse_skin_fibr_272	0.025143
mouse_skin_fibr_273	0.015637
mouse_skin_fibr_274	0.111320
mouse_skin_fibr_275	0.073509
mouse_skin_fibr_276	0.030616
mouse_skin_fibr_277	0.026087
mouse_skin_fibr_278	0.008948
mouse_skin_fibr_279	0.027872
mouse_skin_fibr_280	0.015969
mouse_skin_fibr_281	0.018937
mouse_skin_fibr_282	0.030686
mouse_skin_fibr_283	0.044480
mouse_skin_fibr_284	0.043922
mouse_skin_fibr_285	0.024594
mouse_skin_fibr_286	0.033001
mouse_skin_fibr_287	0.027496
mouse_skin_fibr_288	0.027205
mouse_skin_fibr_289	0.051990
mouse_skin_fibr_290	0.021840
mouse_skin_fibr_291	0.060957
mouse_skin_fibr_292	0.065187
mouse_skin_fibr_293	0.021451
mouse_skin_fibr_294	0.049273
mouse_skin_fibr_295	0.035127
mouse_skin_fibr_296	0.067479
mouse_skin_fibr_297	0.015839
mouse_skin_fibr_298	0.042377
mouse_skin_fibr_299	0.013875
mouse_skin_fibr_300	0.016749
mouse_skin_fibr_301	0.034999
mouse_skin_fibr_302	0.036431
mouse_skin_fibr_303	0.020600
mouse_skin_fibr_304	0.007902
mouse_skin_fibr_305	0.380419
mouse_skin_fibr_306	0.007662
mouse_skin_fibr_307	0.273116
mouse_skin_fibr_308	0.032667
mouse_skin_fibr_309	0.087338
mouse_skin_fibr_310	0.009428
mouse_skin_fibr_311	0.016481
mouse_skin_fibr_312	0.017808
mouse_skin_fibr_313	0.029983
mouse_skin_fibr_314	0.006363
mouse_skin_fibr_315	0.042226
mouse_skin_fibr_316	0.029571
mouse_skin_fibr_317	0.010449
mouse_skin_fibr_318	0.034701
mouse_skin_fibr_319	0.003877
mouse_skin_fibr_320	0.010885
mouse_skin_fibr_321	0.023976
mouse_skin_fibr_322	0.057376
mouse_skin_fibr_323	0.140341
mouse_skin_fibr_324	0.047469
mouse_skin_fibr_325	0.040021
mouse_skin_fibr_326	0.072174
mouse_skin_fibr_327	0.017799
mouse_skin_fibr_328	0.019567
mouse_skin_fibr_329	0.020360
mouse_skin_fibr_330	0.011749
mouse_skin_fibr_331	0.015317
mouse_skin_fibr_332	0.015623
mouse_skin_fibr_333	0.036763
mouse_skin_fibr_334	0.024030
mouse_skin_fibr_335	0.103828
mouse_skin_fibr_336	0.044117
mouse_skin_fibr_337	0.008657
mouse_skin_fibr_338	0.022187
mouse_skin_fibr_339	0.006111
mouse_skin_fibr_340	0.016028
mouse_skin_fibr_341	0.019225
