cell	dup_level
mSp_rep3_001	34415
mSp_rep3_002	7551
mSp_rep3_003	132708
mSp_rep3_004	37841
mSp_rep3_005	34886
mSp_rep3_006	32199
mSp_rep3_007	25603
mSp_rep3_008	47323
mSp_rep3_009	35966
mSp_rep3_010	31272
mSp_rep3_011	34580
mSp_rep3_012	39182
mSp_rep3_013	33579
mSp_rep3_014	31780
mSp_rep3_015	30196
mSp_rep3_016	41056
mSp_rep3_017	23310
mSp_rep3_018	19799
mSp_rep3_019	20551
mSp_rep3_020	24464
mSp_rep3_021	19872
mSp_rep3_022	24746
mSp_rep3_023	23043
mSp_rep3_024	34553
mSp_rep3_025	25506
mSp_rep3_026	7739
mSp_rep3_027	32976
mSp_rep3_028	35002
mSp_rep3_029	31538
mSp_rep3_030	31595
mSp_rep3_031	51793
mSp_rep3_032	36184
mSp_rep3_033	86340
mSp_rep3_034	28267
mSp_rep3_035	87818
mSp_rep3_036	9712
mSp_rep3_037	30165
mSp_rep3_038	29184
mSp_rep3_039	31805
mSp_rep3_040	706
mSp_rep3_041	23045
mSp_rep3_042	3706
mSp_rep3_043	30579
mSp_rep3_044	27599
mSp_rep3_045	19710
mSp_rep3_046	62277
mSp_rep3_047	20356
mSp_rep3_048	13941
mSp_rep3_049	37102
mSp_rep3_050	36098
mSp_rep3_051	37679
mSp_rep3_052	34747
mSp_rep3_053	67279
mSp_rep3_054	44852
mSp_rep3_055	23576
mSp_rep3_056	35345
mSp_rep3_057	35673
mSp_rep3_058	29013
mSp_rep3_059	1547
mSp_rep3_060	40229
mSp_rep3_061	67942
mSp_rep3_062	29948
mSp_rep3_063	28507
mSp_rep3_064	38826
mSp_rep3_065	38114
mSp_rep3_066	32804
mSp_rep3_067	12369
mSp_rep3_068	24786
mSp_rep3_069	35510
mSp_rep3_070	56852
mSp_rep3_071	34103
mSp_rep3_072	35952
mSp_rep3_073	33626
mSp_rep3_074	19361
mSp_rep3_075	29585
mSp_rep3_076	35111
mSp_rep3_077	25550
mSp_rep3_078	43926
mSp_rep3_079	30750
mSp_rep3_080	26867
mSp_rep3_081	253931
mSp_rep3_082	40093
mSp_rep3_083	35927
mSp_rep3_084	25757
mSp_rep3_085	35720
mSp_rep3_086	27779
mSp_rep3_087	28138
mSp_rep3_088	35608
mSp_rep3_089	17296
mSp_rep3_090	26302
mSp_rep3_091	26842
mSp_rep3_092	156
mSp_rep3_093	59688
mSp_rep3_094	36266
mSp_rep3_095	39376
mSp_rep3_096	32177
mSp_rep3_097	39240
mSp_rep3_098	32769
mSp_rep3_099	35348
mSp_rep3_100	53484
mSp_rep3_101	23238
mSp_rep3_102	22655
mSp_rep3_103	42521
mSp_rep3_104	35805
mSp_rep3_105	11590
mSp_rep3_106	29085
mSp_rep3_107	29813
mSp_rep3_108	25316
mSp_rep3_109	30381
mSp_rep3_110	58129
mSp_rep3_111	25834
mSp_rep3_112	27990
mSp_rep3_113	30915
mSp_rep3_114	52111
mSp_rep3_115	24877
mSp_rep3_116	26910
mSp_rep3_117	10431
mSp_rep3_118	26109
mSp_rep3_119	8177
mSp_rep3_120	49608
mSp_rep3_121	31925
mSp_rep3_122	40749
mSp_rep3_123	25669
mSp_rep3_124	37101
mSp_rep3_125	24799
mSp_rep3_126	24627
mSp_rep3_127	36914
mSp_rep3_128	28302
mSp_rep3_129	64653
mSp_rep3_130	56505
mSp_rep3_131	25914
mSp_rep3_132	121247
mSp_rep3_133	28008
mSp_rep3_134	29700
mSp_rep3_135	27445
mSp_rep3_136	20091
mSp_rep3_137	34170
mSp_rep3_138	24351
mSp_rep3_139	28325
mSp_rep3_140	20525
mSp_rep3_141	29520
mSp_rep3_142	20754
mSp_rep3_143	37347
mSp_rep3_144	44352
mSp_rep3_145	34339
mSp_rep3_146	37692
mSp_rep3_147	22656
mSp_rep3_148	31533
mSp_rep3_149	38360
mSp_rep3_150	30225
mSp_rep3_151	45594
mSp_rep3_152	48008
mSp_rep3_153	70359
mSp_rep3_154	41912
mSp_rep3_155	22094
mSp_rep3_156	35997
mSp_rep3_157	8280
mSp_rep3_158	32440
mSp_rep3_159	23046
mSp_rep3_160	19285
mSp_rep3_161	26887
mSp_rep3_162	36979
mSp_rep3_163	49435
mSp_rep3_164	20713
mSp_rep3_165	32426
mSp_rep3_166	21946
mSp_rep3_167	40377
mSp_rep3_168	73704
mSp_rep3_169	2498
mSp_rep3_170	29714
mSp_rep3_171	44521
mSp_rep3_172	13655
mSp_rep3_173	23990
mSp_rep3_174	36242
mSp_rep3_175	51959
mSp_rep3_176	24129
mSp_rep3_177	34662
mSp_rep3_178	78542
mSp_rep3_179	11539
mSp_rep3_180	16514
mSp_rep3_181	39081
mSp_rep3_182	16244
mSp_rep3_183	26994
mSp_rep3_184	24991
mSp_rep3_185	23814
mSp_rep3_186	35117
mSp_rep3_187	22964
mSp_rep3_188	26887
mSp_rep3_189	23700
mSp_rep3_190	32409
mSp_rep3_191	26310
mSp_rep3_192	26530
mSp_rep3_193	20472
mSp_rep3_194	6344
mSp_rep3_195	24522
mSp_rep3_196	12049
mSp_rep3_197	4866
mSp_rep3_198	15986
mSp_rep3_199	34559
mSp_rep3_200	45326
mSp_rep3_201	32817
mSp_rep3_202	20362
mSp_rep3_203	27934
mSp_rep3_204	36006
mSp_rep3_205	24814
mSp_rep3_206	30281
mSp_rep3_207	33258
mSp_rep3_208	13370
mSp_rep3_209	46916
mSp_rep3_210	54581
mSp_rep3_211	29972
mSp_rep3_212	30895
mSp_rep3_213	23535
mSp_rep3_214	62311
mSp_rep3_215	29021
mSp_rep3_216	77137
mSp_rep3_217	16122
mSp_rep3_218	50053
mSp_rep3_219	25306
mSp_rep3_220	16624
mSp_rep3_221	13792
mSp_rep3_222	45223
mSp_rep3_223	2161
mSp_rep3_224	21926
mSp_rep3_225	50154
mSp_rep3_226	59122
mSp_rep3_227	34247
mSp_rep3_228	48564
mSp_rep3_229	18251
mSp_rep3_230	41151
mSp_rep3_231	32113
mSp_rep3_232	11604
mSp_rep3_233	32925
mSp_rep3_234	28099
mSp_rep3_235	25687
mSp_rep3_236	25724
mSp_rep3_237	29015
mSp_rep3_238	23300
mSp_rep3_239	15553
mSp_rep3_240	35897
mSp_rep3_241	15693
mSp_rep3_242	30694
mSp_rep3_243	37319
mSp_rep3_244	24408
mSp_rep3_245	11491
mSp_rep3_246	3258
mSp_rep3_247	47704
mSp_rep3_248	24029
mSp_rep3_249	46379
mSp_rep3_250	55989
mSp_rep3_251	40094
mSp_rep3_252	36027
mSp_rep3_253	38936
mSp_rep3_254	40953
mSp_rep3_255	45969
mSp_rep3_256	
mSp_rep3_257	66543
mSp_rep3_258	23541
mSp_rep3_259	28360
mSp_rep3_260	24043
mSp_rep3_261	16922
mSp_rep3_262	41164
mSp_rep3_263	30941
mSp_rep3_264	25902
mSp_rep3_265	7736
mSp_rep3_266	29418
mSp_rep3_267	38041
mSp_rep3_268	25114
mSp_rep3_269	2880
mSp_rep3_270	
mSp_rep3_271	37716
mSp_rep3_272	22303
mSp_rep3_273	26402
mSp_rep3_274	5006
mSp_rep3_275	32002
mSp_rep3_276	32091
mSp_rep3_277	31902
mSp_rep3_278	11551
mSp_rep3_279	28568
mSp_rep3_280	11060
mSp_rep3_281	21369
mSp_rep3_282	7703
mSp_rep3_283	13552
mSp_rep3_284	32059
mSp_rep3_285	33590
mSp_rep3_286	31843
mSp_rep3_287	153330
mSp_rep3_288	56460
mSp_rep3_289	21947
mSp_rep3_290	36133
mSp_rep3_291	31360
mSp_rep3_292	43682
mSp_rep3_293	39590
mSp_rep3_294	31851
mSp_rep3_295	13799
mSp_rep3_296	30598
mSp_rep3_297	34675
mSp_rep3_298	32931
mSp_rep3_299	30544
mSp_rep3_300	47338
mSp_rep3_301	34157
mSp_rep3_302	29605
mSp_rep3_303	14596
mSp_rep3_304	12838
mSp_rep3_305	11452
mSp_rep3_306	38401
mSp_rep3_307	27503
mSp_rep3_308	15294
mSp_rep3_309	21322
mSp_rep3_310	25287
mSp_rep3_311	25148
mSp_rep3_312	5549
mSp_rep3_313	
mSp_rep3_314	29546
mSp_rep3_315	23111
mSp_rep3_316	29542
mSp_rep3_317	52043
mSp_rep3_318	35134
mSp_rep3_319	30380
mSp_rep3_320	27250
mSp_rep3_321	57635
mSp_rep3_322	3113
mSp_rep3_323	33950
mSp_rep3_324	41223
mSp_rep3_325	15764
mSp_rep3_326	9381
mSp_rep3_327	24813
mSp_rep3_328	31417
mSp_rep3_329	27281
mSp_rep3_330	70053
mSp_rep3_331	160794
mSp_rep3_332	25871
mSp_rep3_333	19709
mSp_rep3_334	33869
mSp_rep3_335	23303
mSp_rep3_336	30935
mSp_rep3_337	32275
mSp_rep3_338	48368
mSp_rep3_339	23643
mSp_rep3_340	29293
mSp_rep3_341	41850
mSp_rep3_342	29046
mSp_rep3_343	27661
mSp_rep3_344	59436
mSp_rep3_345	39597
mSp_rep3_346	27651
mSp_rep3_347	30549
mSp_rep3_348	54267
mSp_rep3_349	29938
mSp_rep3_350	34670
mSp_rep3_351	63431
mSp_rep3_352	43181
mSp_rep3_353	26597
mSp_rep3_354	21200
mSp_rep3_355	27859
mSp_rep3_356	24769
mSp_rep3_357	30036
mSp_rep3_358	30163
mSp_rep3_359	37408
mSp_rep3_360	35156
mSp_rep3_361	16544
mSp_rep3_362	31011
mSp_rep3_363	36383
mSp_rep3_364	37971
mSp_rep3_365	30411
mSp_rep3_366	
mSp_rep3_367	45260
mSp_rep3_368	2546
mSp_rep3_369	34825
mSp_rep3_370	26291
mSp_rep3_371	33667
mSp_rep3_372	
mSp_rep3_373	24011
mSp_rep3_374	27435
mSp_rep3_375	11949
mSp_rep3_376	32313
mSp_rep3_377	39753
mSp_rep3_378	
mSp_rep3_379	48841
mSp_rep3_380	28964
mSp_rep3_381	38118
mSp_rep3_382	57857
mSp_rep3_383	31088
mSp_rep3_384	
