cell	mapping_rate
cd4_tagsort_292	66.89
cd4_tagsort_293	96.37
cd4_tagsort_294	97.46
cd4_tagsort_295	97.65
cd4_tagsort_296	96.52
cd4_tagsort_297	97.35
cd4_tagsort_298	97.03
cd4_tagsort_299	96.76
cd4_tagsort_29	76.56
cd4_tagsort_2	96.62
cd4_tagsort_300	96.53
cd4_tagsort_301	97.12
cd4_tagsort_302	95.84
cd4_tagsort_303	78.89
cd4_tagsort_304	97.21
cd4_tagsort_305	97.20
cd4_tagsort_306	96.95
cd4_tagsort_307	97.35
cd4_tagsort_308	96.96
cd4_tagsort_309	97.52
cd4_tagsort_30	96.39
cd4_tagsort_310	97.37
cd4_tagsort_311	97.21
cd4_tagsort_312	96.27
cd4_tagsort_313	96.36
cd4_tagsort_314	96.16
cd4_tagsort_315	96.05
cd4_tagsort_316	96.01
cd4_tagsort_317	96.90
cd4_tagsort_318	97.49
cd4_tagsort_319	97.55
cd4_tagsort_31	97.49
cd4_tagsort_320	96.39
cd4_tagsort_321	97.17
cd4_tagsort_322	96.63
cd4_tagsort_323	96.57
cd4_tagsort_324	96.35
cd4_tagsort_325	96.88
cd4_tagsort_326	97.07
cd4_tagsort_327	97.05
cd4_tagsort_328	95.99
cd4_tagsort_329	97.57
cd4_tagsort_32	96.76
cd4_tagsort_330	96.64
cd4_tagsort_331	97.24
cd4_tagsort_332	96.38
cd4_tagsort_333	97.33
cd4_tagsort_334	96.89
cd4_tagsort_335	96.21
cd4_tagsort_336	96.71
cd4_tagsort_337	96.68
cd4_tagsort_338	97.16
cd4_tagsort_339	96.61
cd4_tagsort_33	96.55
cd4_tagsort_340	96.38
cd4_tagsort_341	96.78
cd4_tagsort_342	97.30
cd4_tagsort_343	96.97
cd4_tagsort_344	96.67
cd4_tagsort_345	96.67
cd4_tagsort_346	96.41
cd4_tagsort_347	97.36
cd4_tagsort_348	96.29
cd4_tagsort_349	95.79
cd4_tagsort_34	97.39
cd4_tagsort_350	96.20
cd4_tagsort_351	97.00
cd4_tagsort_352	96.01
cd4_tagsort_353	96.80
cd4_tagsort_354	95.57
cd4_tagsort_355	96.10
cd4_tagsort_356	97.36
cd4_tagsort_357	96.46
cd4_tagsort_358	97.83
cd4_tagsort_359	97.71
cd4_tagsort_35	96.19
cd4_tagsort_360	97.34
cd4_tagsort_361	96.69
cd4_tagsort_362	97.26
cd4_tagsort_363	97.67
cd4_tagsort_364	96.51
cd4_tagsort_365	97.28
cd4_tagsort_366	96.41
cd4_tagsort_367	96.69
cd4_tagsort_368	96.89
cd4_tagsort_369	96.59
cd4_tagsort_36	96.06
cd4_tagsort_370	72.17
cd4_tagsort_371	97.00
cd4_tagsort_372	96.81
cd4_tagsort_373	96.33
cd4_tagsort_374	96.97
cd4_tagsort_375	96.68
cd4_tagsort_376	96.66
cd4_tagsort_377	96.65
cd4_tagsort_378	97.23
cd4_tagsort_379	94.82
cd4_tagsort_37	97.15
cd4_tagsort_380	96.25
cd4_tagsort_381	96.12
cd4_tagsort_382	96.78
cd4_tagsort_383	97.20
cd4_tagsort_384	74.88
cd4_tagsort_38	95.37
cd4_tagsort_39	97.50
cd4_tagsort_3	96.23
cd4_tagsort_40	96.43
cd4_tagsort_41	97.29
cd4_tagsort_42	96.15
cd4_tagsort_43	96.07
cd4_tagsort_44	94.77
cd4_tagsort_45	97.02
cd4_tagsort_46	97.06
cd4_tagsort_47	97.35
cd4_tagsort_48	96.96
cd4_tagsort_49	96.79
cd4_tagsort_4	96.86
cd4_tagsort_50	95.65
cd4_tagsort_51	95.79
cd4_tagsort_52	97.11
cd4_tagsort_53	96.93
cd4_tagsort_54	96.70
cd4_tagsort_55	95.69
cd4_tagsort_56	96.76
cd4_tagsort_57	97.04
cd4_tagsort_58	96.76
cd4_tagsort_59	96.85
cd4_tagsort_5	96.36
cd4_tagsort_60	95.83
cd4_tagsort_61	95.67
cd4_tagsort_62	97.53
cd4_tagsort_63	97.28
cd4_tagsort_64	96.85
cd4_tagsort_65	96.43
cd4_tagsort_66	97.33
cd4_tagsort_67	74.10
cd4_tagsort_68	94.61
cd4_tagsort_69	96.20
cd4_tagsort_6	97.33
cd4_tagsort_70	97.25
cd4_tagsort_71	96.14
cd4_tagsort_72	97.00
cd4_tagsort_73	97.18
cd4_tagsort_74	97.16
cd4_tagsort_75	97.23
cd4_tagsort_76	97.30
cd4_tagsort_77	96.98
cd4_tagsort_78	96.97
cd4_tagsort_79	96.48
cd4_tagsort_7	96.77
cd4_tagsort_80	96.85
cd4_tagsort_81	96.29
cd4_tagsort_82	96.81
cd4_tagsort_83	95.67
cd4_tagsort_84	96.57
cd4_tagsort_85	96.48
cd4_tagsort_86	97.12
cd4_tagsort_87	96.89
cd4_tagsort_88	97.52
cd4_tagsort_89	96.30
cd4_tagsort_8	97.16
cd4_tagsort_90	96.38
cd4_tagsort_91	95.80
cd4_tagsort_92	96.19
cd4_tagsort_93	95.98
cd4_tagsort_94	96.75
cd4_tagsort_95	96.77
cd4_tagsort_96	94.98
cd4_tagsort_97	96.65
cd4_tagsort_98	97.09
cd4_tagsort_99	95.58
cd4_tagsort_9	96.83
