cell	sequencing_depth
cd4_tagsort_305	672131
cd4_tagsort_306	1453124
cd4_tagsort_307	762376
cd4_tagsort_308	183126
cd4_tagsort_309	756581
cd4_tagsort_30	210230
cd4_tagsort_310	382252
cd4_tagsort_311	875973
cd4_tagsort_312	353980
cd4_tagsort_313	710100
cd4_tagsort_314	805297
cd4_tagsort_315	707355
cd4_tagsort_316	704299
cd4_tagsort_317	768596
cd4_tagsort_318	592194
cd4_tagsort_319	910113
cd4_tagsort_31	961235
cd4_tagsort_320	742211
cd4_tagsort_321	889944
cd4_tagsort_322	738754
cd4_tagsort_323	716403
cd4_tagsort_324	717983
cd4_tagsort_325	65744
cd4_tagsort_326	690942
cd4_tagsort_327	90078
cd4_tagsort_328	88536
cd4_tagsort_329	133727
cd4_tagsort_32	217855
cd4_tagsort_330	582181
cd4_tagsort_331	255514
cd4_tagsort_332	845181
cd4_tagsort_333	798884
cd4_tagsort_334	821159
cd4_tagsort_335	875165
cd4_tagsort_336	994513
cd4_tagsort_337	1290335
cd4_tagsort_338	554228
cd4_tagsort_339	840419
cd4_tagsort_33	797799
cd4_tagsort_340	116650
cd4_tagsort_341	787447
cd4_tagsort_342	599335
cd4_tagsort_343	341390
cd4_tagsort_344	118409
cd4_tagsort_345	926481
cd4_tagsort_346	471499
cd4_tagsort_347	217495
cd4_tagsort_348	899489
cd4_tagsort_349	893018
cd4_tagsort_34	647330
cd4_tagsort_350	99405
cd4_tagsort_351	198122
cd4_tagsort_352	828187
cd4_tagsort_353	641455
cd4_tagsort_354	93952
cd4_tagsort_355	121564
cd4_tagsort_356	601797
cd4_tagsort_357	137103
cd4_tagsort_358	904425
cd4_tagsort_359	584705
cd4_tagsort_35	120782
cd4_tagsort_360	794418
cd4_tagsort_361	523634
cd4_tagsort_362	381070
cd4_tagsort_363	929868
cd4_tagsort_364	538325
cd4_tagsort_365	780183
cd4_tagsort_366	885358
cd4_tagsort_367	675235
cd4_tagsort_368	786820
cd4_tagsort_369	862619
cd4_tagsort_36	731207
cd4_tagsort_370	115
cd4_tagsort_371	790848
cd4_tagsort_372	825690
cd4_tagsort_373	139195
cd4_tagsort_374	777864
cd4_tagsort_375	803759
cd4_tagsort_376	1738899
cd4_tagsort_377	629259
cd4_tagsort_378	766272
cd4_tagsort_379	190606
cd4_tagsort_37	680634
cd4_tagsort_380	153577
cd4_tagsort_381	718258
cd4_tagsort_382	875216
cd4_tagsort_383	835153
cd4_tagsort_384	209
cd4_tagsort_38	106355
cd4_tagsort_39	678663
cd4_tagsort_3	854656
cd4_tagsort_40	659984
cd4_tagsort_41	344641
cd4_tagsort_42	559137
cd4_tagsort_43	723565
cd4_tagsort_44	669813
cd4_tagsort_45	813241
cd4_tagsort_46	831764
cd4_tagsort_47	549947
cd4_tagsort_48	676880
cd4_tagsort_49	862795
cd4_tagsort_4	943118
cd4_tagsort_50	78209
cd4_tagsort_51	923739
cd4_tagsort_52	653367
cd4_tagsort_53	968819
cd4_tagsort_54	1029213
cd4_tagsort_55	96614
cd4_tagsort_56	995154
cd4_tagsort_57	898509
cd4_tagsort_58	804713
cd4_tagsort_59	856459
cd4_tagsort_5	1039268
cd4_tagsort_60	695810
cd4_tagsort_61	833881
cd4_tagsort_62	94538
cd4_tagsort_63	274838
cd4_tagsort_64	664039
cd4_tagsort_65	201896
cd4_tagsort_66	220971
cd4_tagsort_67	166
cd4_tagsort_68	1117572
cd4_tagsort_69	850317
cd4_tagsort_6	798021
cd4_tagsort_70	933665
cd4_tagsort_71	281363
cd4_tagsort_72	877885
cd4_tagsort_73	753839
cd4_tagsort_74	121796
cd4_tagsort_75	619160
cd4_tagsort_76	361706
cd4_tagsort_77	838647
cd4_tagsort_78	737322
cd4_tagsort_79	946709
cd4_tagsort_7	289336
cd4_tagsort_80	989047
cd4_tagsort_81	74196
cd4_tagsort_82	745075
cd4_tagsort_83	123672
cd4_tagsort_84	179500
cd4_tagsort_85	788252
cd4_tagsort_86	804073
cd4_tagsort_87	352279
cd4_tagsort_88	664657
cd4_tagsort_89	933882
cd4_tagsort_8	931051
cd4_tagsort_90	956527
cd4_tagsort_91	827396
cd4_tagsort_92	768508
cd4_tagsort_93	761424
cd4_tagsort_94	807801
cd4_tagsort_95	159073
cd4_tagsort_96	753526
cd4_tagsort_97	802687
cd4_tagsort_98	1116664
cd4_tagsort_99	897565
cd4_tagsort_9	933754
